EdgeID	FromNode	ToNode	EdgeLabel
5	Adam Pisoni	Yammer	Founded
6	Adam Somlai-Fischer	Prezi	Founded
7	Adeyemi Ajao	Tuenti	Founded
9	Allen Blue	LinkedIn	Founded
13	Apple Inc.	Apple Mail	Developed by
17	Barry Diller	Expedia Group	Is key to
18	Barry Diller	Expedia Group	Owns
19	Batara Eto	Mixi	Founded
22	Bernd Schlobohm	QSC AG	Is key to
25	Brian Protiva	ADVA Optical Networking	Is key to
28	CEO	ADVA Optical Networking	Is key to
29	CEO	Bechtle	Is key to
30	CEO	Bright.com	Is key to
31	CEO	Expedia Group	Is key to
32	CEO	Facebook	Is key to
33	CEO	Foursquare City Guide	Is key to
34	CEO	IdeaPlane	Is key to
35	CEO	Jenoptik	Is key to
36	CEO	Pinterest	Is key to
37	CEO	QSC AG	Is key to
38	CFO	ADVA Optical Networking	Is key to
39	CFO	Facebook	Is key to
41	CTO	ADVA Optical Networking	Is key to
42	CTO	Facebook	Is key to
43	CTO	IdeaPlane	Is key to
45	Chairman	ADVA Optical Networking	Is key to
46	Chairman	BB Biotech	Is key to
47	Chairman	Expedia Group	Is key to
48	Chairman	Facebook	Is key to
49	Chairman	Jenoptik	Is key to
50	Chairman	QSC AG	Is key to
51	Christina Hall	LinkedIn	Is key to
53	ClearSlide	SlideRocket	Developed by
54	Connectix	DoubleTalk	Produces
57	Connectix	Optima	Produces
58	Connectix	QuickCam	Produces
59	Connectix	RAM Doubler	Produces
61	Connectix	Virtual	Produces
62	Connectix	Virtual Game Station	Produces
63	Connectix	Virtual PC	Produces
67	David O. Sacks	Yammer	Founded
68	David Wehner	Facebook	Is key to
69	Dennis Crowley	Foursquare City Guide	Founded
70	Dennis Crowley	Foursquare City Guide	Is key to
71	Dominique Leroy	Proximus Group	Is key to
73	Dow Jones	All Things Digital	Owns
79	Eric Ly	LinkedIn	Founded
80	Eric Traut	Connectix	Is key to
81	Erich Hunziker	BB Biotech	Is key to
87	Expedia Group	Classic Vacations	Produces
