EdgeID	Property	Value
888	Date	2018
		
888	Value	US $ 1.2 billion
		
889	Date	February 2014
		
889	Value	$ 120 million
		
890	Date	June 13 2016
		
890	Value	$ 26.2 billion
		
891	Date	January 2011
		
892	Date	March 2017
		
893	Value	EUR 123 million
		
893	Date	May 2009
		
894	Date	2013
		
895	Date	2012
		
896	Date	August 2016
		
897	Date	2010
		
899	Date	June 10 2014
		
900	Date	October 2014
		
901	Date	January 2008
		
901	Value	$ 115 million
		
902	Date	June 19 2000
		
903	Date	2006
		
904	Date	January 21 2015
		
905	Date	January 7 2000
		
906	Value	US $ 133 million
		
906	Date	January 1996
		
907	Date	September 2000
		
908	Date	1999
		
909	Value	$ 50 million
		
910	Date	October 2015
		
913	Date	May 3 2007
		
914	Date	2002
		
915	Date	March 2000
		
916	Date	2003
		
917	Date	November 5 2015
		
918	Date	April 2006
		
919	Date	June 1998
		
920	Date	November 1998
		
920	Value	US $ 265 million
		
921	Date	February 2006
		
922	Date	2008
		
923	Date	May 18 2007
		
923	Value	US $ 6 billion
		
924	Date	October 2017
		
925	Date	June 2015
		
925	Value	developed 365
		
927	Date	May 2009
		
928	Date	14 January 2011
		
929	Date	May 2011
		
929	Value	660 million
		
931	Date	July 2 2018
		
932	Date	July 9 2014
		
933	Date	May 2012
		
934	Date	September 2012
		
935	Date	September 20 2010
		
936	Date	September 2011
		
937	Date	October 2018
		
938	Date	April 8 2018
		
938	Value	$ 137.5M
		
939	Date	January 2018
		
941	Value	US $ 315 million
		
941	Date	2011
		
942	Date	August 4 2010
		
942	Value	70 million
		
943	Date	January 2015
		
944	Date	April 2011
		
945	Date	December 2011
		
946	Date	October 16 2014
		
947	Date	October 2017
		
948	Date	October 2006
		
949	Value	US $ 586 million
		
949	Date	April 9 586
		
950	Date	2015
		
951	Date	April 2015
		
952	Date	August 23 2016
		
953	Date	March 8 2017
		
954	Date	February 2017
		
955	Date	June 29 2011
		
955	Value	$ 35 million
		
956	Date	2013
		
957	Date	May 2017
		
958	Date	March 2010
		
959	Date	June 2012
		
960	Date	January 2010
		
961	Date	1999
		
962	Date	March 2016
		
963	Date	June 2019
		
964	Date	April 2012
		
964	Value	US $ 1 billion
		
965	Date	2010
		
966	Date	December 2011
		
968	Date	2012
		
970	Value	$ 72.5 million
		
971	Date	2004
		
972	Value	US $ 95 million
		
973	Date	2010
		
974	Date	2011
		
974	Value	US $ 101 million
		
975	Value	US $ 374
		
976	Date	2016
		
977	Date	2004
		
977	Licensed	 Jenimage Europe
		
978	Date	2010
		
979	Date	January 2013
		
980	Date	May 2014
		
980	Value	$ 3.15 million
		
981	Date	2018
		
982	Date	2004
		
983	Value	$ 345 million
		
983	Date	July 2013
		
984	Value	$ 306 million
		
984	Date	October 2017
		
985	Date	2017
		
986	Date	2014
		
987	Date	1925
		
988	Date	1996
		
989	Date	2005
		
990	Date	February 2013
		
991	Date	2009
		
992	Date	2012
		
994	Date	2019
		
995	Date	2005
		
996	Date	2011
		
997	Date	November 2012
		
998	Date11	January 2013
		
999	Value	$ 736 million
		
999	Date	January 2000
		
1000	Date	April 2001
		
1000	Value 	$ 23 million
		
1001	Value	$ 70 million
		
1001	Date	July 14 2004
		
1002	Value	$ 154.3 million
		
1002	Date	May 21 1991
		
1003	Value	June 23 2015
		
1003	Value	$ 4.4 billion
		
1004	Date	2013
		
1005	Date	May 22 2015
		
1006	Date	2016
		
1007	Date	1962
		
1008	Date	1938
		
1009	Date 	March 2015
		
1010	Date	2005
		
1011	Date	January 2008
		
1011	Value	$ 169 million
		
1012	Date	November 2008
		
1013	Date	2013
		
1014	Date	1999
		
1015	Value	$ 250M
		
1016	Date	2008
		
1018	Date	2016
		
1018	Value	$ 26.2B
		
1019	Date	23 2015
		
1024	Date	11 October 2018
		
1024	Value	$ 300 million
		
1025	Date	20 2012
