company,attribute,value,cluster id,confidence
connectifier,naics,,0,0.99077946
glassdoor,naics,561311,0,0.99077946
indeed.com,naics,,0,0.99077946
linkedin,naics,541511,0,0.99077946
lynda.com,naics,518210,0,0.99077946
slideshare,naics,,0,0.99077946
ziprecruiter inc,naics,541810,0,0.99077946
connectifier,headcount,5,1,0.99077946
glassdoor,headcount,1417,1,0.99077946
indeed.com,headcount,11192,1,0.99077946
linkedin,headcount,20547,1,0.99077946
lynda.com,headcount,631,1,0.99077946
slideshare,headcount,,1,0.99077946
ziprecruiter inc,headcount,1438,1,0.99077946
connectifier,type of business,,2,0.99077946
glassdoor,type of business,private,2,0.99077946
indeed.com,type of business,,2,0.99077946
linkedin,type of business,subsidiary,2,0.99077946
lynda.com,type of business,,2,0.99077946
slideshare,type of business,,2,0.99077946
ziprecruiter inc,type of business,,2,0.99077946
connectifier,type of site,,3,0.99077946
glassdoor,type of site,"job search engine, review site",3,0.99077946
indeed.com,type of site,job search engine,3,0.99077946
linkedin,type of site,social networking service,3,0.99077946
lynda.com,type of site,,3,0.99077946
slideshare,type of site,slide hosting service,3,0.99077946
ziprecruiter inc,type of site,job marketplace,3,0.99077946
connectifier,available in,,4,0.99077946
glassdoor,available in,multilingual,4,0.99077946
indeed.com,available in,,4,0.99077946
linkedin,available in,multilingual (24),4,0.99077946
lynda.com,available in,,4,0.99077946
slideshare,available in,multilingual(5),4,0.99077946
ziprecruiter inc,available in,,4,0.99077946
connectifier,founded,"california, united states (december 2011 (2011-12))",5,0.99077946
glassdoor,founded,Jun-07,5,0.99077946
indeed.com,founded,november 2004 15 years ago (2004-11),5,0.99077946
linkedin,founded,"december 28, 2002 16 years ago (2002-12-28)mountain view, california, u.s.",5,0.99077946
lynda.com,founded,1995 (1995),5,0.99077946
slideshare,founded,,5,0.99077946
ziprecruiter inc,founded,2010,5,0.99077946
connectifier,headquarters,"1000 w maude ave, sunnyvale, california, united states",6,0.99077946
glassdoor,headquarters,"mill valley, california, u.s.",6,0.99077946
indeed.com,headquarters,"austin, texas, u.s.stamford, connecticut, u.s.",6,0.99077946
linkedin,headquarters,"sunnyvale, california, u.s.",6,0.99077946
lynda.com,headquarters,"carpinteria , united states of america",6,0.99077946
slideshare,headquarters,,6,0.99077946
ziprecruiter inc,headquarters,"santa monica, california",6,0.99077946
connectifier,area served,,7,0.99077946
glassdoor,area served,,7,0.99077946
indeed.com,area served,,7,0.99077946
linkedin,area served,worldwide,7,0.99077946
lynda.com,area served,,7,0.99077946
slideshare,area served,worldwide,7,0.99077946
ziprecruiter inc,area served,,7,0.99077946
connectifier,founder(s),,8,0.899761441
glassdoor,founder(s),"robert hohman, rich barton, tim besse",8,0.899761441
indeed.com,founder(s),paul forster rony kahan,8,0.899761441
linkedin,founder(s),reid hoffmanallen bluekonstantin guerickeeric lyjean-luc vaillant,8,0.899761441
lynda.com,founder(s),,8,0.899761441
slideshare,founder(s),rashmi sinha,8,0.899761441
ziprecruiter inc,founder(s),ian siegeljoe edmondsward pouloswill redd,8,0.899761441
connectifier,ceo,,9,0.99077946
glassdoor,ceo,,9,0.99077946
indeed.com,ceo,,9,0.99077946
linkedin,ceo,jeff weiner,9,0.99077946
lynda.com,ceo,,9,0.99077946
slideshare,ceo,,9,0.99077946
ziprecruiter inc,ceo,,9,0.99077946
connectifier,key people,,10,0.99077946
glassdoor,key people,"robert hohman, christian sutherland-wong, ryan aylward",10,0.99077946
indeed.com,key people,,10,0.99077946
linkedin,key people,"shannon brayton (cmo) christina hall (cpo, svp) steve sordello (cfo, svp)",10,0.99077946
lynda.com,key people,"eric robison, ceo",10,0.99077946
slideshare,key people,,10,0.99077946
ziprecruiter inc,key people,ian siegel (ceo),10,0.99077946
connectifier,industry,"internet, recruitment",11,0.99077946
glassdoor,industry,internet,11,0.99077946
indeed.com,industry,,11,0.99077946
linkedin,industry,internet,11,0.99077946
lynda.com,industry,educational technology,11,0.99077946
slideshare,industry,internet,11,0.99077946
