company,std_attribute,value
connectifier,naics,
glassdoor,naics,561311
indeed.com,naics,
linkedin,naics,541511
lynda.com,naics,518210
slideshare,naics,
ziprecruiter inc,naics,541810
connectifier,headcount,5
glassdoor,headcount,1417
indeed.com,headcount,11192
linkedin,headcount,20547
lynda.com,headcount,631
slideshare,headcount,
ziprecruiter inc,headcount,1438
connectifier,type of site,
glassdoor,type of site,"job search engine, review site"
indeed.com,type of site,job search engine
linkedin,type of site,social networking service
lynda.com,type of site,
slideshare,type of site,slide hosting service
ziprecruiter inc,type of site,job marketplace
connectifier,available in,
glassdoor,available in,multilingual
indeed.com,available in,
linkedin,available in,multilingual (24)
lynda.com,available in,
slideshare,available in,multilingual(5)
ziprecruiter inc,available in,
connectifier,founded,"california, united states (december 2011 (2011-12))"
glassdoor,founded,Jun-07
indeed.com,founded,november 2004 15 years ago (2004-11)
linkedin,founded,"december 28, 2002 16 years ago (2002-12-28)mountain view, california, u.s."
lynda.com,founded,1995 (1995)
ziprecruiter inc,founded,2010
connectifier,headquarters,"1000 w maude ave, sunnyvale, california, united states"
glassdoor,headquarters,"mill valley, california, u.s."
indeed.com,headquarters,"austin, texas, u.s.stamford, connecticut, u.s."
linkedin,headquarters,"sunnyvale, california, u.s."
lynda.com,headquarters,"carpinteria , united states of america"
slideshare,headquarters,
ziprecruiter inc,headquarters,"santa monica, california"
glassdoor,founder,"robert hohman, rich barton, tim besse"
indeed.com,founder,paul forster rony kahan
linkedin,founder,reid hoffmanallen bluekonstantin guerickeeric lyjean-luc vaillant
slideshare,founder,rashmi sinha
ziprecruiter inc,founder,ian siegeljoe edmondsward pouloswill redd
connectifier,key people,
glassdoor,key people,"robert hohman, christian sutherland-wong, ryan aylward"
indeed.com,key people,
linkedin,key people,"shannon brayton (cmo) christina hall (cpo, svp) steve sordello (cfo, svp)"
lynda.com,key people,"eric robison, ceo"
slideshare,key people,
ziprecruiter inc,key people,ian siegel (ceo)
connectifier,industry,"internet, recruitment"
glassdoor,industry,internet
indeed.com,industry,
linkedin,industry,internet
lynda.com,industry,educational technology
slideshare,industry,internet
ziprecruiter inc,industry,employment websites
connectifier,employees,
glassdoor,employees,800
indeed.com,employees,
linkedin,employees,"15,000 (2019)"
lynda.com,employees,
slideshare,employees,
ziprecruiter inc,employees,"10,001"
connectifier,parent,linkedin
glassdoor,parent,
indeed.com,parent,
linkedin,parent,microsoft corporation
lynda.com,parent,linkedin
slideshare,parent,linkedin
ziprecruiter inc,parent,
connectifier,website,www.connectifier.com
glassdoor,website,www.glassdoor.com
indeed.com,website,indeed.com
linkedin,website,www.linkedin.com
lynda.com,website,www.linkedin.com/learning/
slideshare,website,www.slideshare.net
ziprecruiter inc,website,ziprecruiter.com
connectifier,alexa rank,
glassdoor,alexa rank,397 (october 2017update)1
indeed.com,alexa rank,167 (june 2018update)1
linkedin,alexa rank,58 (november 2019update)1
lynda.com,alexa rank,
slideshare,alexa rank,165 (as of 19 march 2019update)1
ziprecruiter inc,alexa rank,
connectifier,registration,
glassdoor,registration,optional
indeed.com,registration,
linkedin,registration,required
lynda.com,registration,
