EdgeID	FromNode	ToNode	EdgeLabel
5	adam pisoni	yammer	founded
6	adam somlai-fischer	prezi	founded
7	adeyemi ajao	tuenti	founded
9	allen blue	linkedin	founded
13	apple inc.	apple mail	developed by
17	barry diller	expedia group	is key to
18	barry diller	expedia group	owns
19	batara eto	mixi	founded
22	bernd schlobohm	qsc ag	is key to
25	brian protiva	adva optical networking	is key to
28	ceo	adva optical networking	is key to
29	ceo	bechtle	is key to
30	ceo	bright.com	is key to
31	ceo	expedia group	is key to
32	ceo	facebook	is key to
33	ceo	foursquare city guide	is key to
34	ceo	ideaplane	is key to
35	ceo	jenoptik	is key to
36	ceo	pinterest	is key to
37	ceo	qsc ag	is key to
38	cfo	adva optical networking	is key to
39	cfo	facebook	is key to
41	cto	adva optical networking	is key to
42	cto	facebook	is key to
43	cto	ideaplane	is key to
45	chairman	adva optical networking	is key to
46	chairman	bb biotech	is key to
47	chairman	expedia group	is key to
48	chairman	facebook	is key to
49	chairman	jenoptik	is key to
50	chairman	qsc ag	is key to
51	christina hall	linkedin	is key to
53	clearslide	sliderocket	developed by
54	connectix	doubletalk	developed by
57	connectix	optima	developed by
58	connectix	quickcam	developed by
59	connectix	ram doubler	developed by
61	connectix	virtual	developed by
62	connectix	virtual game station	developed by
63	connectix	virtual pc	developed by
67	david o. sacks	yammer	founded
68	david wehner	facebook	is key to
69	dennis crowley	foursquare city guide	founded
70	dennis crowley	foursquare city guide	is key to
71	dominique leroy	proximus group	is key to
73	dow jones	all things digital	owns
79	eric ly	linkedin	founded
80	eric traut	connectix	is key to
81	erich hunziker	bb biotech	is key to
87	expedia group	classic vacations	developed by
89	expedia group	egencia	developed by
90	expedia group	expedia affiliate network	developed by
94	expedia group	expedia.com	developed by
95	expedia group	homeaway	developed by
96	expedia group	hotels.com	developed by
97	expedia group	hotwire group	developed by
98	expedia group	orbitz	developed by
99	expedia group	travelocity	developed by
100	expedia group	trivago	developed by
103	facebook	instagram	developed by
104	facebook	instagram	owns
105	facebook	messenger	developed by
