EdgeID	Property	Value
888.0	Date	2018
888.0	Value	US $ 1.2 billion
889.0	Date	February 2014
889.0	Value	$ 120 million
890.0	Date	June 13 2016
890.0	Value	$ 26.2 billion
891.0	Date	January 2011
892.0	Date	March 2017
893.0	Value	EUR 123 million
893.0	Date	May 2009
894.0	Date	2013
895.0	Date	2012
896.0	Date	August 2016
897.0	Date	2010
899.0	Date	June 10 2014
900.0	Date	October 2014
901.0	Date	January 2008
901.0	Value	$ 115 million
902.0	Date	June 19 2000
903.0	Date	2006
904.0	Date	January 21 2015
905.0	Date	January 7 2000
906.0	Value	US $ 133 million
906.0	Date	January 1996
907.0	Date	September 2000
908.0	Date	1999
909.0	Value	$ 50 million
910.0	Date	October 2015
913.0	Date	May 3 2007
914.0	Date	2002
915.0	Date	March 2000
916.0	Date	2003
917.0	Date	November 5 2015
918.0	Date	April 2006
919.0	Date	June 1998
920.0	Date	November 1998
920.0	Value	US $ 265 million
921.0	Date	February 2006
922.0	Date	2008
923.0	Date	May 18 2007
923.0	Value	US $ 6 billion
924.0	Date	October 2017
925.0	Date	June 2015
925.0	Value	developed 365
927.0	Date	May 2009
928.0	Date	14 January 2011
929.0	Date	May 2011
929.0	Value	660 million
931.0	Date	July 2 2018
932.0	Date	July 9 2014
933.0	Date	May 2012
934.0	Date	September 2012
935.0	Date	September 20 2010
936.0	Date	September 2011
937.0	Date	October 2018
938.0	Date	April 8 2018
938.0	Value	$ 137.5M
939.0	Date	January 2018
941.0	Value	US $ 315 million
941.0	Date	2011
942.0	Date	August 4 2010
942.0	Value	70 million
943.0	Date	January 2015
944.0	Date	April 2011
945.0	Date	December 2011
946.0	Date	October 16 2014
947.0	Date	October 2017
948.0	Date	October 2006
949.0	Value	US $ 586 million
949.0	Date	April 9 586
950.0	Date	2015
951.0	Date	April 2015
952.0	Date	August 23 2016
953.0	Date	March 8 2017
954.0	Date	February 2017
955.0	Date	June 29 2011
955.0	Value	$ 35 million
956.0	Date	2013
957.0	Date	May 2017
958.0	Date	March 2010
959.0	Date	June 2012
960.0	Date	January 2010
961.0	Date	1999
962.0	Date	March 2016
963.0	Date	June 2019
964.0	Date	April 2012
964.0	Value	US $ 1 billion
965.0	Date	2010
966.0	Date	December 2011
968.0	Date	2012
970.0	Value	$ 72.5 million
971.0	Date	2004
972.0	Value	US $ 95 million
973.0	Date	2010
974.0	Date	2011
974.0	Value	US $ 101 million
975.0	Value	US $ 374
976.0	Date	2016
977.0	Date	2004
977.0	Licensed	 Jenimage Europe
978.0	Date	2010
979.0	Date	January 2013
980.0	Date	May 2014
980.0	Value	$ 3.15 million
981.0	Date	2018
982.0	Date	2004
983.0	Value	$ 345 million
983.0	Date	July 2013
984.0	Value	$ 306 million
984.0	Date	October 2017
985.0	Date	2017
986.0	Date	2014
987.0	Date	1925
988.0	Date	1996
989.0	Date	2005
990.0	Date	February 2013
991.0	Date	2009
992.0	Date	2012
994.0	Date	2019
995.0	Date	2005
996.0	Date	2011
997.0	Date	November 2012
998.0	Date	January 2013
999.0	Value	$ 736 million
999.0	Date	January 2000
1000.0	Date	April 2001
1000.0	Value	$ 23 million
1001.0	Value	$ 70 million
1001.0	Date	July 14 2004
1002.0	Value	$ 154.3 million
1002.0	Date	May 21 1991
1003.0	Value	June 23 2015
1003.0	Value	$ 4.4 billion
1004.0	Date	2013
1005.0	Date	May 22 2015
1006.0	Date	2016
1007.0	Date	1962
1008.0	Date	1938
1009.0	Date	March 2015
1010.0	Date	2005
1011.0	Date	January 2008
1011.0	Value	$ 169 million
1012.0	Date	November 2008
1013.0	Date	2013
1014.0	Date	1999
1015.0	Value	$ 250M
1016.0	Date	2008
1018.0	Date	2016
1018.0	Value	$ 26.2B
1019.0	Date	23 2015
1024.0	Date	11 October 2018
1024.0	Value	$ 300 million
1025.0	Date	20 2012
1026.0	Ownership	25.1 % shares
1026.0	Date	2009
1027.0	Date	February 11 2016
1028.0	Date	January 31 2018
1246.0	Date	2010
1249.0	Date	13 October 2009
1251.0	Date	January 2015
1254.0	Date	May 18 2010
1255.0	Date	April 3 2006
1256.0	Date	2008
1257.0	Date	April 2017
1258.0	Date	1999
1262.0	Date	August 2006
1265.0	Date	April 2018
1267.0	Date	2011
1268.0	Value	US $ 95 million
1268.0	Date	2009
1269.0	Date	December 2016
1270.0	Date	January 2016
1270.0	Value	$ 3.56 billion
1271.0	Date	2008
1272.0	Date	November 2012
1272.0	Value	$ 9 billion
1273.0	Date	2002
1274.0	Date	1999
1275.0	Value	$ 200 million
1275.0	Date	July 2008
1276.0	Date	2014
1276.0	Value	$ 2.5 billion
1277.0	Date	January 2012
1278.0	Value	$ 70 million
1278.0	Date	July 14 2004
1281.0	Date	June 2012
1282.0	Value	$ 1.5B
1282.0	Date	2002
1283.0	Date	2015
1283.0	Fund Value	$ 70 million
1284.0	Date	2003
1285.0	Date	2010
1285.0	Fund Value	$ 20 million
1286.0	Ownership	20%
1287.0	Ownership	20%
1288.0	Ownership	20%
1289.0	Ownership	20%
1290.0	Date	August 2007
1290.0	Fund Value	€5 million
1291.0	Date	August 2007
1291.0	Fund Value	€5 million
1292.0	Fund Value	$2.5 million
1293.0	Fund Value	$ 2.5 million
1294.0	Fund Value	$ 2.5 million
1295.0	Fund Value	$ 2.5 million
1296.0	Fund Value	$ 2.5 million
1297.0	Fund Value	$ 3.6m
1298.0	Fund Value	$ 3.6m
1299.0	Date	2014
1299.0	Fund Value	$ 9.6 million
1299.0	Ownership	19.9%
1300.0	Date	January 2009
1309.0	Date	June 2013
1309.0	Fund Value	$ 2.2 million
1310.0	Date	June 2013
1310.0	Fund Value	$ 2.2 million
1311.0	Date	June 2013
1311.0	Fund Value	$ 2.2 million
1312.0	Date	June 2013
1312.0	Fund Value	$ 2.2 million
1313.0	Date	June 2013
1313.0	Fund Value	$ 2.2 million
1314.0	Date	June 2013
1314.0	Fund Value	$ 2.2 million
1315.0	Fund Value	$ 11 million
1315.0	Date	2015
1316.0	Date	June 2006
1317.0	Date	June 2006
1318.0	Date	June 2006
1320.0	Date	September 2009
1320.0	Fund Value	$ 1.91 billion
1320.0	Ownership	65%
1322.0	Date	March 2004
1323.0	Date	March 2004
1324.0	Date	March 2004
1325.0	Fund Value	$ 4 million
1325.0	Date	2011
1326.0	Date	2003
1326.0	Fund Value	$ 12 million
1327.0	Date	2003
1327.0	Fund Value	$ 12 million
1329.0	Date	June 12 2012
1329.0	Fund Value	US $ 142 million
1330.0	Date	June 12 2012
1330.0	Fund Value	US $ 142 million
1331.0	Date	June 12 2012
1331.0	Fund Value	US $ 142 million
1332.0	Date	June 12 2012
1332.0	Fund Value	US $ 142 million
1333.0	Date	June 12 2012
1333.0	Fund Value	US $ 142 million
1334.0	Date	June 12 2012
1334.0	Fund Value	US $ 142 million
1335.0	Date	June 4 2013
1335.0	Fund Value	$ 35M
1336.0	Date	November 2015
1336.0	Fund Value	$ 52.6 million
1337.0	Date	November 2015
1337.0	Fund Value	$ 52.6 million
1338.0	Date	November 2015
1338.0	Fund Value	$ 52.6 million
1339.0	Date	September 2010
1339.0	Fund Value	$ 6 million
1340.0	Date	September 2010
1340.0	Fund Value	$ 6 million
1341.0	Date	September 2010
1341.0	Fund Value	$ 6 million
1342.0	Date	September 2010
1342.0	Fund Value	$ 6 million
1343.0	Date	September 2010
1343.0	Fund Value	$ 6 million
1344.0	Date	September 2010
1344.0	Fund Value	$ 6 million
1345.0	Date	September 2010
1345.0	Fund Value	$ 6 million
1346.0	Fund Value	$ 2.2 million
1347.0	Fund Value	$ 2.2 million
1348.0	Fund Value	$ 2.2 million
1349.0	Fund Value	$ 2.2 million
1350.0	Fund Value	$ 2.2 million
1351.0	Fund Value	USD $ 1 million
1352.0	Fund Value	$ 5 million
1353.0	Date	September 2005
1353.0	Fund Value	$ 1.5 million
1354.0	Fund Value	$ 7 million
1371.0	Date	17 May
1371.0	Fund Value	$ 100 million
1375.0	Date	December 2008
1375.0	Fund Value	$ 9 million
1376.0	Date	December 2008
1376.0	Fund Value	US $ 9 million
1377.0	Date	December 2008
1377.0	Fund Value	US $ 9 million
1378.0	Date	2014
1379.0	Date	November 2007
1379.0	Fund Value	750k
1380.0	Date	November 2007
1380.0	Fund Value	750k
1381.0	Date	November 2007
1381.0	Fund Value	750k
1382.0	Date	November 2007
1382.0	Fund Value	750k
1383.0	Date	November 2007
1383.0	Fund Value	750k
1384.0	Date	January 2014
1385.0	Date	2013
1385.0	Fund Value	$ 103 million
1386.0	Date	2013
1386.0	Fund Value	$ 103 million
1387.0	Date	2013
1387.0	Fund Value	$ 103 million
1388.0	Fund Value	$ 28.7 million
1390.0	Fund Value	$ 300 million
1391.0	Fund Value	$ 186 million
1392.0	Fund Value	$ 200 million
1393.0	Fund Value	$ 200 million
1394.0	Fund Value	$ 200 million
1395.0	Fund Value	$ 200 million
1396.0	Date	July 2015
1396.0	Fund Value	$ 50 million
1401.0	Date	August 4, 2010
1401.0	Value	$0.6 million[44]
1401.0	Type of Business	Adaptive personalization of content
1402.0	Date	September 23, 2010
1402.0	Value	$3.9 million[citation needed]
1402.0	Type of Business	Social B2B Reviews
1403.0	Date	January 26, 2011
1403.0	Value	$1.7 million[44]
1403.0	Type of Business	Social Contacts
1404.0	Date	October 5, 2011
1404.0	Type of Business	Social CRM
1405.0	Date	October 11, 2011
1405.0	Type of Business	Social search
1406.0	Date	February 22, 2012
1406.0	Value	$15 million[50]
1406.0	Type of Business	Social Contacts
1407.0	Date	May 3, 2012
1407.0	Value	$119 million
1407.0	Type of Business	Social Content
1408.0	Date	April 11, 2013
1408.0	Value	$90 million
1408.0	Type of Business	Web / Mobile newsreader
1409.0	Date	February 6, 2014
1409.0	Value	$120 million
1409.0	Type of Business	Job Matching
1410.0	Date	July 14, 2014
1410.0	Type of Business	Web application
1411.0	Date	July 22, 2014
1411.0	Value	$175 million
1411.0	Type of Business	Web application
1412.0	Date	March 16, 2015
1412.0	Type of Business	Web application
1413.0	Date	April 2, 2015
1413.0	Type of Business	Web application
1414.0	Date	April 9, 2015
1414.0	Value	$1.5 billion[59]
1414.0	Type of Business	eLearning
1415.0	Date	August 28, 2015
1415.0	Type of Business	Predictive Sales and Marketing Firm
1416.0	Date	February 4, 2016
1416.0	Type of Business	Web application
1417.0	Date	July 26, 2016
1417.0	Type of Business	Web application
1418.0	Date	September 16, 2018
1418.0	Type of Business	Web application
1419.0	Date	May 28, 2019
1419.0	Type of Business	Marketing Solutions
1440.0	Ownership	54.84
1441.0	Ownership	5.04
1442.0	Ownership	3.02
1443.0	Ownership	2.98
1444.0	Ownership	2.95
1445.0	Ownership	2.83
1446.0	Ownership	32.92
1447.0	Date	—
1448.0	Date	2018
1449.0	Date	2019
1450.0	Date	—
1451.0	Date	2018
1452.0	Date	2014
1453.0	Date	2018
1454.0	Date	2018
1455.0	Date	2018
1456.0	Date	2002
1457.0	Date	—
1458.0	Date	—
1459.0	Date	—
1460.0	Date	2018
1461.0	Date	—
1462.0	Date	Unknown
1463.0	Date	January 2013
1464.0	Date	May 2013
1465.0	Date	February 2014
1466.0	Date	March 2014
1467.0	Date	March 2014
1468.0	Date	June 2014
1469.0	Date	July 2014
1470.0	Date	August 2014
1471.0	Date	September 2014
1472.0	Date	January 2015
1473.0	Date	January 2015
1474.0	Date	April 2015
1475.0	Date	April 2015[a]
1476.0	Date	June 2015
1477.0	Date	July 2015
1478.0	Date	July 2015
1479.0	Date	August 2015
1480.0	Date	September 2015
1481.0	Date	September 2015
1482.0	Date	2016
1483.0	Date	January 2016
1484.0	Date	March 2016
1485.0	Date	June 2016
1486.0	Date	September 2016
1487.0	Date	November 2016
1488.0	Date	January 2017
1489.0	Date	March 2017
1490.0	Date	October 2017
1491.0	Date	March 2018
1492.0	Date	April 2018
1493.0	Date	May 2018
1494.0	Date	June 2018
1495.0	Date	September 2018
1496.0	Date	October 2018
1497.0	Date	January 2019
1498.0	Date	January 2019[a]
1499.0	Date	March 2019
1500.0	Date	March 17, 2000
1500.0	Value	$89,750,000.00
1500.0	Type of Business	Internet service provider
1501.0	Date	March 17, 2001
1501.0	Value	$70,850,000.00
1501.0	Type of Business	Internet service provider
1502.0	Date	March 11, 2002
1502.0	Value	$78,000,000.00
1502.0	Type of Business	Travel agency
1503.0	Date	July 11, 2002
1503.0	Value	—
1503.0	Type of Business	Travel agency
1504.0	Date	October 28, 2002
1504.0	Value	—
1504.0	Type of Business	Reservation software
1505.0	Date	April 5, 2004
1505.0	Value	—
1505.0	Type of Business	Travel and touring
1506.0	Date	April 12, 2004
1506.0	Value	—
1506.0	Type of Business	Travel agency
1507.0	Date	July 15, 2008
1507.0	Value	€200,000,000.00
1507.0	Type of Business	Hotel Booking Engine
1508.0	Date	October 18, 2010
1508.0	Value	—
1508.0	Type of Business	Mobile App Developer
1509.0	Date	April 27, 2012
1509.0	Value	—
1509.0	Type of Business	Travel Management Company
1510.0	Date	March 12, 2013
1510.0	Value	$564,000,000.00
1510.0	Type of Business	Hotel Metasearch Engine
1511.0	Date	July 6, 2014
1511.0	Value	$657,000,000.00
1511.0	Type of Business	Travel Agency
1512.0	Date	January 23, 2015
1512.0	Value	$280,000,000.00
1512.0	Type of Business	Travel Agency
1513.0	Date	September 17, 2015
1513.0	Value	$1.6×10^9
1513.0	Type of Business	Travel Agency
1514.0	Date	November 4, 2015
1514.0	Value	$3.9×10^9
1514.0	Type of Business	Holiday Rental Service
1515.0	Date	October 25, 2018
1515.0	Value	—
1515.0	Type of Business	Short-Term Rental Management
1516.0	Date	October 25, 2018
1516.0	Value	—
1516.0	Type of Business	Short-Term Rental Management
1517.0	Date	August 22, 2019
1517.0	Value	—
1517.0	Type of Business	Holiday Rental Service
1518.0	Date	December 31, 2000
1518.0	Value	$50,000,000.00
1518.0	Type of Business	Online travel
1519.0	Date	February 5, 2002
1519.0	Value	$1.372×10^9
1519.0	Type of Business	Online travel
1520.0	Date	August 8, 2003
1520.0	Value	$3.636×10^9
1520.0	Type of Business	Online travel
1521.0	Date	August 9, 2005
1521.0	Value	$7.981×10^9
1521.0	Type of Business	Online travel
1522.0	Date	Jan 28, 2008
1522.0	Value	$169M
1523.0	Date	Oct 6, 2008
1523.0	Value	$945M
1524.0	Date	Apr 20, 2011
1524.0	Value	$135M
1525.0	Date	Apr 28, 2011
1525.0	Value	—
1526.0	Date	Oct 15, 2011
1526.0	Value	$240M
1527.0	Date	Jul 17, 2012
1527.0	Value	—
1528.0	Date	Apr 13, 2013
1528.0	Value	—
1529.0	Date	Sep 26, 2013
1529.0	Value	$800M
1530.0	Date	Sep 26, 2013
1530.0	Value	$26.2M
1531.0	Date	Dec 17, 2013
1531.0	Value	—
1532.0	Date	Mar 2, 2015
1532.0	Value	$280M
1533.0	Date	Mar 5, 2015
1533.0	Value	$60M
1534.0	Date	Jul 2, 2015
1534.0	Value	$890M
1535.0	Date	Aug 19, 2015
1535.0	Value	—
1536.0	Date	Feb 14, 2017
1536.0	Value	$233M
1537.0	Date	Aug 10, 2017
1537.0	Value	—
1538.0	Date	May 17, 2018
1538.0	Value	$2.2B
1539.0	Date	June 19, 2018
1539.0	Value	$400M
1540.0	Date	June 22, 2018
1540.0	Value	$120M
1541.0	Date	Sept 30, 2019
1541.0	Value	undisclosed (70% stake)
