Year,Country Code,medal_count,gold_count,fp_ratio
1924,NOR,17,4,0.24
1924,FIN,12,4,0.33
1924,AUT,4,3,0.75
1924,FRA,4,0,0.0
1924,GBR,4,1,0.25
1924,USA,4,1,0.25
1924,SUI,3,2,0.67
1924,SWE,2,1,0.5
1924,BEL,1,0,0.0
1924,CAN,1,1,1.0
1928,NOR,15,6,0.4
1928,AUT,6,0,0.0
1928,USA,6,2,0.33
1928,SWE,5,2,0.4
1928,FIN,4,2,0.5
1928,FRA,2,2,1.0
1928,BEL,1,0,0.0
1928,CAN,1,1,1.0
1928,GBR,1,0,0.0
1928,GER,1,0,0.0
1928,SUI,1,0,0.0
1928,TCH,1,0,0.0
1932,USA,13,6,0.46
1932,NOR,10,3,0.3
1932,CAN,7,1,0.14
1932,FIN,3,1,0.33
1932,SWE,3,1,0.33
1932,AUT,2,1,0.5
1932,FRA,2,2,1.0
1932,GER,2,0,0.0
1932,HUN,2,0,0.0
1932,SUI,1,0,0.0
1936,NOR,15,7,0.47
1936,GER,7,4,0.57
1936,SWE,7,2,0.29
1936,FIN,6,1,0.17
1936,AUT,5,1,0.2
1936,USA,4,1,0.25
1936,GBR,3,1,0.33
1936,SUI,3,1,0.33
1936,HUN,2,0,0.0
1936,CAN,1,0,0.0
1936,FRA,1,0,0.0
1948,NOR,10,4,0.4
1948,SWE,10,4,0.4
1948,SUI,9,3,0.33
1948,AUT,8,1,0.12
1948,USA,8,3,0.38
1948,FIN,6,1,0.17
1948,FRA,5,2,0.4
1948,CAN,4,2,0.5
1948,BEL,3,2,0.67
1948,GBR,2,0,0.0
1948,HUN,2,0,0.0
1948,ITA,1,1,1.0
1948,TCH,1,0,0.0
1952,NOR,16,7,0.44
1952,USA,12,4,0.33
1952,FIN,9,3,0.33
1952,AUT,8,2,0.25
1952,FRG,8,4,0.5
1952,SWE,4,0,0.0
1952,NED,3,0,0.0
1952,CAN,2,1,0.5
1952,HUN,2,0,0.0
1952,ITA,2,1,0.5
1952,SUI,2,0,0.0
1952,FRA,1,0,0.0
1952,GBR,1,1,1.0
1956,URS,15,6,0.4
1956,AUT,12,5,0.42
1956,SWE,10,2,0.2
1956,FIN,7,3,0.43
1956,USA,7,2,0.29
1956,SUI,6,3,0.5
1956,CAN,4,0,0.0
1956,NOR,4,2,0.5
1956,ITA,3,1,0.33
1956,EUA,2,1,0.5
1956,HUN,2,0,0.0
1956,JPN,1,0,0.0
1956,POL,1,0,0.0
1960,URS,21,7,0.33
1960,USA,11,3,0.27
1960,EUA,9,4,0.44
1960,FIN,8,2,0.25
1960,SWE,7,3,0.43
1960,AUT,6,1,0.17
1960,NOR,6,3,0.5
1960,CAN,5,3,0.6
1960,FRA,3,1,0.33
1960,NED,2,0,0.0
1960,POL,2,0,0.0
1960,SUI,2,2,1.0
1960,ITA,1,0,0.0
1960,TCH,1,0,0.0
1964,URS,25,12,0.48
1964,NOR,15,3,0.2
1964,AUT,12,4,0.33
1964,EUA,10,3,0.3
1964,FIN,10,3,0.3
1964,USA,8,1,0.12
1964,FRA,7,3,0.43
1964,SWE,7,3,0.43
1964,CAN,4,1,0.25
1964,ITA,4,0,0.0
1964,NED,2,1,0.5
1964,GBR,1,1,1.0
1964,PRK,1,0,0.0
1964,TCH,1,0,0.0
1968,URS,15,6,0.4
1968,NOR,14,6,0.43
1968,AUT,11,3,0.27
1968,FRA,9,4,0.44
1968,NED,9,3,0.33
1968,FRG,8,2,0.25
1968,SWE,8,3,0.38
1968,SUI,6,0,0.0
1968,FIN,5,1,0.2
1968,GDR,5,1,0.2
1968,USA,5,1,0.2
1968,ITA,4,4,1.0
1968,TCH,4,1,0.25
1968,CAN,3,1,0.33
1968,ROU,1,0,0.0
1972,URS,18,9,0.5
1972,GDR,15,4,0.27
1972,NOR,12,2,0.17
1972,SUI,10,4,0.4
1972,NED,9,4,0.44
1972,USA,8,3,0.38
1972,AUT,5,1,0.2
1972,FIN,5,0,0.0
1972,FRG,5,3,0.6
1972,ITA,5,2,0.4
1972,SWE,4,1,0.25
1972,FRA,3,0,0.0
1972,JPN,3,1,0.33
1972,TCH,3,1,0.33
1972,CAN,1,0,0.0
1972,ESP,1,1,1.0
1972,POL,1,1,1.0
1976,URS,30,15,0.5
1976,GDR,21,7,0.33
1976,USA,11,3,0.27
1976,FRG,10,2,0.2
1976,FIN,7,2,0.29
1976,NOR,7,3,0.43
1976,AUT,6,2,0.33
1976,NED,6,1,0.17
1976,SUI,5,1,0.2
1976,ITA,4,1,0.25
1976,CAN,3,1,0.33
1976,LIE,2,0,0.0
1976,SWE,2,0,0.0
1976,FRA,1,0,0.0
1976,GBR,1,1,1.0
1976,TCH,1,0,0.0
1980,URS,26,12,0.46
1980,GDR,24,9,0.38
1980,USA,12,6,0.5
1980,NOR,10,1,0.1
1980,FIN,9,1,0.11
1980,AUT,7,3,0.43
1980,FRG,5,0,0.0
1980,SUI,5,1,0.2
1980,LIE,4,2,0.5
1980,NED,4,1,0.25
1980,SWE,4,3,0.75
1980,CAN,2,0,0.0
1980,HUN,2,0,0.0
1980,ITA,2,0,0.0
1980,BUL,1,0,0.0
1980,FRA,1,0,0.0
1980,GBR,1,1,1.0
1980,JPN,1,0,0.0
1980,TCH,1,0,0.0
1984,URS,29,7,0.24
1984,GDR,24,9,0.38
1984,FIN,13,4,0.31
1984,NOR,9,3,0.33
1984,USA,9,4,0.44
1984,SWE,8,4,0.5
1984,TCH,6,0,0.0
1984,SUI,5,2,0.4
1984,CAN,4,2,0.5
1984,FRG,4,2,0.5
1984,FRA,3,0,0.0
1984,GBR,2,2,1.0
1984,ITA,2,2,1.0
1984,LIE,2,0,0.0
1984,AUT,1,0,0.0
1984,JPN,1,0,0.0
1984,YUG,1,0,0.0
1988,URS,33,13,0.39
1988,GDR,25,9,0.36
1988,SUI,15,5,0.33
1988,AUT,10,3,0.3
1988,FRG,8,2,0.25
1988,FIN,7,4,0.57
1988,NED,7,3,0.43
1988,USA,7,2,0.29
1988,CAN,6,0,0.0
1988,SWE,6,4,0.67
1988,ITA,5,2,0.4
1988,NOR,5,0,0.0
1988,TCH,3,0,0.0
1988,YUG,3,0,0.0
1988,FRA,2,1,0.5
1988,JPN,1,0,0.0
1988,LIE,1,0,0.0
1992,EUN,27,11,0.41
1992,GER,26,10,0.38
1992,AUT,21,6,0.29
1992,NOR,20,9,0.45
1992,ITA,14,4,0.29
1992,FRA,10,3,0.3
1992,USA,10,4,0.4
1992,CAN,8,2,0.25
1992,FIN,7,3,0.43
1992,JPN,7,1,0.14
1992,KOR,4,2,0.5
1992,NED,4,1,0.25
1992,SWE,4,1,0.25
1992,SUI,3,1,0.33
1992,TCH,3,0,0.0
1992,CHN,2,0,0.0
1992,LUX,2,0,0.0
1992,ESP,1,0,0.0
1992,NZL,1,0,0.0
1992,PRK,1,0,0.0
1994,RUS,27,13,0.48
1994,NOR,26,10,0.38
1994,GER,24,9,0.38
1994,ITA,20,7,0.35
1994,CAN,14,3,0.21
1994,USA,12,5,0.42
1994,AUT,9,2,0.22
1994,SUI,9,3,0.33
1994,FIN,6,0,0.0
1994,KOR,6,4,0.67
1994,FRA,5,0,0.0
1994,JPN,5,1,0.2
1994,NED,4,0,0.0
1994,CHN,3,0,0.0
1994,GBR,3,0,0.0
1994,KAZ,3,1,0.33
1994,SLO,3,0,0.0
1994,SWE,3,2,0.67
1994,BLR,2,0,0.0
1994,UKR,2,1,0.5
1994,AUS,1,0,0.0
1994,UZB,1,1,1.0
1998,GER,30,12,0.4
1998,NOR,25,10,0.4
1998,RUS,22,11,0.5
1998,AUT,17,3,0.18
1998,CAN,14,5,0.36
1998,USA,13,6,0.46
1998,FIN,12,2,0.17
1998,NED,11,5,0.45
1998,ITA,10,2,0.2
1998,FRA,9,2,0.22
1998,JPN,9,4,0.44
1998,CHN,8,0,0.0
1998,SUI,7,2,0.29
1998,KOR,6,3,0.5
1998,CZE,3,1,0.33
1998,SWE,3,0,0.0
1998,BLR,2,0,0.0
1998,KAZ,2,0,0.0
1998,AUS,1,0,0.0
1998,BEL,1,0,0.0
1998,BUL,1,1,1.0
1998,DEN,1,0,0.0
1998,GBR,1,0,0.0
1998,UKR,1,0,0.0
2002,GER,36,12,0.33
2002,USA,32,9,0.28
2002,NOR,24,12,0.5
2002,CAN,18,8,0.44
2002,AUT,17,3,0.18
2002,RUS,15,6,0.4
2002,ITA,14,4,0.29
2002,FRA,12,5,0.42
2002,SUI,11,3,0.27
2002,CHN,9,2,0.22
2002,NED,8,3,0.38
2002,FIN,7,4,0.57
2002,SWE,7,0,0.0
2002,CRO,4,3,0.75
2002,KOR,4,2,0.5
2002,BUL,3,0,0.0
2002,CZE,3,1,0.33
2002,EST,3,1,0.33
2002,AUS,2,2,1.0
2002,GBR,2,1,0.5
2002,JPN,2,0,0.0
2002,POL,2,0,0.0
2002,BLR,1,0,0.0
2002,SLO,1,0,0.0
2006,GER,29,11,0.38
2006,USA,25,8,0.32
2006,CAN,24,7,0.29
2006,RUS,24,10,0.42
2006,AUT,23,9,0.39
2006,NOR,19,2,0.11
2006,SUI,14,5,0.36
2006,SWE,14,7,0.5
2006,CHN,13,2,0.15
2006,ITA,11,5,0.45
2006,KOR,10,6,0.6
2006,FIN,9,0,0.0
2006,FRA,9,3,0.33
2006,NED,9,3,0.33
2006,CZE,4,1,0.25
2006,CRO,3,1,0.33
2006,EST,3,3,1.0
2006,UKR,3,0,0.0
2006,AUS,2,1,0.5
2006,POL,2,0,0.0
2006,BLR,1,0,0.0
2006,BUL,1,0,0.0
2006,GBR,1,0,0.0
2006,JPN,1,1,1.0
2006,LAT,1,0,0.0
2006,SVK,1,0,0.0
2010,USA,36,9,0.25
2010,GER,31,10,0.32
2010,CAN,27,15,0.56
2010,NOR,23,9,0.39
2010,AUT,16,4,0.25
2010,RUS,16,3,0.19
2010,CHN,13,6,0.46
2010,KOR,13,6,0.46
2010,FRA,11,2,0.18
2010,SWE,11,5,0.45
2010,SUI,9,6,0.67
2010,NED,8,4,0.5
2010,CZE,6,2,0.33
2010,POL,6,1,0.17
2010,FIN,5,0,0.0
2010,ITA,5,1,0.2
2010,JPN,5,0,0.0
2010,AUS,3,2,0.67
2010,BLR,3,1,0.33
2010,CRO,3,0,0.0
2010,SLO,3,0,0.0
2010,SVK,3,1,0.33
2010,LAT,2,0,0.0
2010,EST,1,0,0.0
2010,GBR,1,1,1.0
2010,KAZ,1,0,0.0
2014,RUS,38,15,0.39
2014,USA,30,10,0.33
2014,CAN,27,10,0.37
2014,NOR,27,12,0.44
2014,NED,23,8,0.35
2014,GER,21,9,0.43
2014,AUT,17,4,0.24
2014,FRA,15,4,0.27
2014,SWE,15,2,0.13
2014,SUI,11,6,0.55
2014,CHN,9,3,0.33
2014,CZE,9,2,0.22
2014,ITA,9,0,0.0
2014,JPN,8,1,0.12
2014,KOR,8,3,0.38
2014,SLO,8,2,0.25
2014,BLR,6,5,0.83
2014,POL,6,4,0.67
2014,FIN,5,1,0.2
2014,LAT,5,0,0.0
2014,GBR,4,1,0.25
2014,AUS,3,0,0.0
2014,UKR,2,1,0.5
2014,CRO,1,0,0.0
2014,KAZ,1,0,0.0
2014,SVK,1,1,1.0
