id,user_id,video_id,time
1,2859,9771,11/19/15 11:17 AM
2,2950,4726,2/3/15 8:43 PM
3,4868,2941,5/9/14 9:04 PM
4,296,4959,12/11/15 8:33 PM
5,3247,70,5/24/15 8:03 AM
6,4860,542,11/27/14 6:26 PM
7,3904,8647,10/17/15 2:19 AM
8,723,3984,2/27/14 10:07 AM
9,2969,331,3/8/14 9:40 PM
10,4693,2006,5/16/15 1:06 PM
11,323,7773,2/16/15 1:34 PM
12,2247,4931,7/25/14 11:14 AM
13,2118,2370,4/15/14 7:45 AM
14,3148,2085,7/31/15 8:04 PM
15,4748,1450,10/17/15 2:15 PM
16,2125,6271,9/19/15 5:44 AM
17,251,1215,5/15/14 6:08 PM
18,4670,6237,4/25/14 9:36 AM
19,3342,7878,3/15/14 5:53 PM
20,1153,4240,5/22/15 1:02 PM
21,2492,2328,3/30/15 5:29 AM
22,1333,4442,3/26/15 6:40 PM
23,1039,2899,4/22/15 8:32 PM
24,940,7713,12/11/15 11:13 AM
25,1659,3028,11/24/15 1:47 PM
26,1484,4289,6/15/15 5:47 PM
27,1056,238,9/4/15 6:32 AM
28,975,1178,6/27/14 4:46 PM
29,4517,3902,1/14/15 5:19 AM
30,4349,8075,8/6/15 1:56 AM
31,459,7740,4/24/14 11:49 PM
32,3897,7742,3/29/15 1:12 AM
33,1942,9851,4/29/15 5:08 PM
34,3874,482,12/19/14 1:13 PM
35,4910,2157,10/13/15 10:46 PM
36,4515,98,5/25/15 10:08 PM
37,876,196,2/14/14 1:06 AM
38,2444,5312,3/18/14 9:24 PM
39,3420,1096,12/7/15 3:10 PM
40,3514,6218,8/27/14 11:45 AM
41,2662,1372,3/8/14 3:29 AM
42,3231,813,3/19/15 10:05 PM
43,4667,8370,7/19/15 8:59 PM
44,4567,909,6/15/15 6:53 PM
45,3506,4254,12/11/15 3:10 AM
46,4609,9212,11/25/15 8:11 PM
47,2266,3525,10/9/14 8:16 AM
48,3843,723,7/12/15 7:22 PM
49,524,8275,3/14/15 6:49 PM
50,3690,8954,11/4/15 9:24 PM
51,3687,1777,5/4/15 10:32 PM
52,3866,8049,1/28/15 3:37 AM
53,3449,7819,3/25/15 8:46 AM
54,2348,9950,7/30/15 2:43 AM
55,598,9159,7/22/14 9:01 PM
56,2069,2179,12/3/15 12:32 PM
57,1943,1327,7/27/15 3:14 AM
58,74,4809,5/31/15 11:36 AM
59,3735,6638,1/24/15 12:04 PM
60,2387,3906,4/15/15 7:33 PM
61,4438,6360,9/26/15 1:34 PM
62,3227,4343,3/29/15 10:42 AM
63,4564,7511,5/30/14 1:06 PM
64,108,913,6/24/14 7:07 PM
65,2348,8852,7/20/15 9:37 AM
66,3371,5355,4/12/15 6:45 PM
67,4271,4646,11/10/14 3:52 PM
68,4731,3446,2/27/14 11:23 PM
69,1866,9934,3/18/14 4:31 PM
70,4921,6960,4/11/14 6:17 AM
71,1302,6846,6/13/15 9:24 PM
72,1770,2749,12/2/14 10:09 AM
73,3845,9317,4/3/14 4:27 PM
74,4015,9150,3/29/14 6:51 AM
75,1412,6551,3/21/14 5:55 AM
76,3319,2620,3/9/14 1:33 PM
77,2388,2587,11/7/14 5:20 PM
78,4035,3645,4/24/14 9:22 PM
79,4844,4439,6/11/15 5:57 PM
80,1354,5785,6/14/15 6:37 AM
81,1390,6742,5/7/15 10:53 AM
82,2379,6055,2/2/15 3:15 PM
83,4959,7892,9/7/14 8:19 AM
84,4358,5449,10/6/15 5:46 AM
85,4554,6428,6/11/15 3:22 AM
86,1,854,4/5/14 12:18 PM
87,3123,953,9/17/14 8:38 PM
88,2606,410,3/31/15 6:26 AM
89,3990,2978,7/6/14 2:31 PM
90,1156,6127,4/2/15 8:08 AM
91,1324,5473,11/17/15 12:44 PM
92,3068,2002,5/11/14 4:46 PM
93,2310,2199,11/6/14 7:55 PM
94,1462,9812,6/20/15 12:18 PM
95,2196,7136,6/15/15 8:40 PM
96,1764,7226,7/9/14 6:10 AM
97,4599,6559,4/27/15 12:32 PM
98,4701,3131,6/6/15 6:31 AM
99,785,1938,12/7/14 10:57 AM
100,1390,7548,3/15/14 10:06 AM
101,2039,2565,11/29/15 3:25 PM
102,1652,6768,7/22/15 11:42 PM
103,1198,2904,11/7/15 10:40 PM
104,4627,7148,4/4/15 5:09 PM
105,3098,8033,6/19/14 2:15 AM
106,2113,2982,5/20/15 11:23 AM
107,4462,4201,12/12/14 10:50 PM
108,2791,1237,4/17/15 9:08 AM
109,839,3957,7/15/14 9:44 AM
110,1500,9209,7/10/14 12:41 AM
111,1100,9716,1/4/15 10:57 PM
112,1569,7270,5/29/15 2:58 AM
113,3668,7865,8/16/14 5:36 AM
114,3722,8423,9/19/14 11:59 PM
115,368,2432,1/31/14 7:01 AM
116,2688,4680,12/6/15 9:03 AM
117,4749,70,2/10/14 5:27 AM
118,4902,5555,4/8/14 12:20 AM
119,1997,2302,3/9/14 4:22 PM
120,128,8257,2/9/15 3:32 AM
121,4740,5054,6/28/15 11:58 AM
122,1018,3519,2/12/14 9:49 AM
123,1446,4271,12/5/14 4:35 AM
124,4482,9183,1/10/15 5:25 AM
125,2204,8604,1/31/15 5:53 PM
126,3478,8835,6/16/15 7:28 PM
127,4516,4517,5/28/15 11:53 PM
128,3567,2472,8/6/15 4:18 PM
129,693,1446,5/15/14 3:21 PM
130,1558,6151,8/29/14 3:35 PM
131,251,200,12/9/14 2:07 AM
132,3469,5948,1/21/15 9:44 PM
133,418,848,9/29/14 3:31 PM
134,3126,9114,3/23/15 12:47 PM
135,1817,5093,6/13/15 12:55 PM
136,4343,8955,7/16/14 2:41 PM
137,1177,8162,2/27/14 12:49 PM
138,3472,4394,10/20/14 9:58 AM
139,605,1073,2/7/14 10:43 AM
140,2395,7397,2/21/15 6:22 PM
141,1411,7957,12/16/15 5:11 AM
142,4073,4642,10/9/14 5:26 AM
143,1142,5428,10/1/15 5:50 AM
144,4043,117,2/1/15 3:34 PM
145,2298,3764,1/1/15 12:07 PM
146,2992,318,8/1/15 3:14 PM
147,3621,9034,5/27/14 8:24 PM
148,3783,2633,4/24/15 8:24 PM
149,813,2048,1/25/15 5:20 AM
150,2271,7466,10/9/14 7:19 PM
151,4974,6690,7/2/14 7:31 PM
152,4333,6490,4/18/14 6:58 AM
153,4383,469,3/25/15 2:18 AM
154,1453,9186,2/20/14 4:16 AM
155,550,114,10/6/15 4:55 PM
156,4496,7110,11/7/14 9:59 PM
157,4151,9688,12/17/15 2:10 PM
158,353,9630,12/21/14 10:13 PM
159,4311,6167,3/16/15 3:42 PM
160,4606,4882,4/20/14 4:45 AM
161,1779,5999,12/15/14 2:58 PM
162,3906,4350,5/9/15 5:26 PM
163,4189,4781,9/19/15 3:48 AM
164,2241,6982,9/25/14 1:42 PM
165,304,4405,4/5/14 6:12 AM
166,608,1893,4/16/14 1:53 PM
167,1961,1295,1/31/14 2:33 PM
168,159,6916,3/26/15 9:17 PM
169,661,303,9/9/14 12:27 PM
170,61,7837,8/23/14 11:03 PM
171,4750,9327,4/8/14 9:35 PM
172,4314,4527,6/4/15 1:34 PM
173,4413,877,5/15/15 5:55 PM
174,1959,410,6/7/15 12:53 AM
175,483,6061,11/19/14 5:53 AM
176,4961,2384,1/6/15 6:37 AM
177,109,5434,11/27/14 7:23 PM
178,3964,4872,6/17/14 9:59 AM
179,3681,1164,7/24/15 10:10 AM
180,8,7251,9/16/15 1:27 AM
181,3256,5409,1/4/15 3:08 PM
182,4627,7140,8/6/14 11:48 PM
183,835,1538,5/13/14 6:56 PM
184,1973,1603,5/10/15 6:05 PM
185,1121,3942,10/2/15 6:07 PM
186,4155,3464,8/28/14 6:18 PM
187,157,3990,9/26/15 4:39 AM
188,2430,7786,12/17/15 2:05 PM
189,4233,4221,2/16/14 11:47 PM
190,50,3615,9/10/14 8:03 AM
191,4547,8010,12/31/14 6:05 AM
192,2206,5598,8/3/14 5:54 PM
193,686,3733,5/11/14 11:47 AM
194,2959,9672,10/26/14 4:52 PM
195,2577,238,6/12/15 10:27 AM
196,3155,1615,3/30/15 2:59 PM
197,2194,9131,11/28/14 10:13 AM
198,2283,6288,2/23/15 10:34 PM
199,3255,4207,7/23/15 7:32 AM
200,4788,4625,12/5/14 2:04 AM
201,1525,4455,6/17/14 1:12 AM
202,1873,8466,11/23/15 2:57 PM
203,4727,8639,8/3/15 11:00 PM
204,156,1249,7/14/14 1:32 AM
205,4573,6670,9/5/14 2:35 AM
206,4980,6889,1/11/15 9:55 AM
207,746,1677,3/14/15 7:40 PM
208,2836,9582,10/22/15 6:45 AM
209,2601,1953,9/12/15 8:23 AM
210,3072,7437,5/27/14 10:37 AM
211,2174,5973,4/14/14 5:33 PM
212,1014,4910,11/13/15 4:48 AM
213,1422,8139,2/5/14 5:59 PM
214,4614,9172,8/3/15 5:52 AM
215,2650,8510,5/6/14 9:21 PM
216,2570,6310,2/8/14 10:34 PM
217,4637,2065,10/23/14 3:57 PM
218,550,8159,11/24/14 9:05 PM
219,983,5087,4/24/15 8:35 AM
220,2380,7168,6/28/15 10:29 AM
221,3383,4174,7/21/15 5:53 AM
222,4680,3267,5/24/14 6:16 PM
223,3787,5731,9/2/15 5:31 AM
224,1692,8993,3/9/14 2:39 AM
225,827,2165,1/11/15 8:49 PM
226,4779,6052,7/6/14 5:17 PM
227,500,2469,4/27/14 11:13 AM
228,1081,9208,7/29/15 1:01 PM
229,2900,7327,6/12/15 6:59 AM
230,378,8077,7/17/15 4:29 AM
231,289,4127,6/17/14 1:10 PM
232,4623,1007,8/8/15 8:22 PM
233,826,4349,10/21/14 10:51 AM
234,2530,6877,10/18/15 8:57 PM
235,4388,140,5/28/15 6:04 PM
236,4240,8756,5/26/14 10:32 PM
237,1249,3791,10/7/14 5:46 AM
238,4362,4914,1/18/15 7:54 PM
239,3662,6309,4/6/15 12:46 PM
240,1765,8544,4/22/15 2:49 AM
241,3081,4447,2/1/14 6:45 PM
242,3356,939,2/16/15 4:27 AM
243,2324,3033,12/18/14 9:57 PM
244,1335,5447,8/4/14 6:58 PM
245,2093,5133,10/11/15 6:58 AM
246,4842,9734,3/7/14 12:02 PM
247,1952,915,3/25/15 10:41 PM
248,2270,21,4/12/14 6:05 PM
249,4981,2913,5/3/14 8:05 AM
250,2038,1449,5/2/14 11:58 PM
251,3761,1653,6/12/15 4:53 PM
252,3432,6924,7/29/14 7:22 AM
253,1223,3652,2/17/15 3:22 PM
254,4592,791,4/8/15 1:42 PM
255,468,3749,2/9/15 9:56 PM
256,1431,4718,11/16/15 7:44 AM
257,3354,2075,3/26/14 5:37 AM
258,1592,7990,8/31/14 11:28 PM
259,260,3747,8/5/14 11:00 AM
260,1071,5052,12/7/14 12:47 PM
261,4230,7963,9/11/14 7:37 PM
262,1583,333,12/2/15 9:06 PM
263,1652,7630,4/5/14 7:04 AM
264,3545,5713,11/28/15 11:16 AM
265,2351,8480,3/18/14 4:41 AM
266,2898,283,4/24/15 1:13 PM
267,4102,595,11/8/14 12:34 PM
268,1780,9849,3/12/15 8:48 PM
269,1311,5962,7/25/15 10:06 AM
270,186,2465,10/9/15 3:23 PM
271,4855,5055,5/25/15 7:25 PM
272,1967,3012,1/28/15 6:30 AM
273,3856,3163,12/19/14 5:42 AM
274,736,1101,7/2/14 8:00 PM
275,4907,8165,10/28/15 5:22 AM
276,4453,6748,10/21/15 7:24 PM
277,4911,5546,9/21/14 8:27 AM
278,1321,5623,5/10/15 1:09 PM
279,2389,6018,9/3/15 5:55 AM
280,4690,8215,4/30/15 1:54 PM
281,344,1861,10/26/14 3:55 AM
282,917,6106,8/27/15 7:31 AM
283,1590,9918,12/8/14 11:05 AM
284,588,2999,3/26/14 11:30 AM
285,330,7121,12/24/14 1:13 AM
286,2778,7863,9/24/15 9:10 PM
287,2834,3640,3/14/15 5:59 AM
288,4816,6105,7/4/15 2:02 AM
289,1077,1433,3/12/15 9:30 PM
290,4840,202,2/5/14 2:00 PM
291,972,560,3/13/14 9:11 AM
292,2148,5422,2/4/14 3:25 AM
293,4557,9078,2/9/14 11:20 AM
294,4578,7882,5/23/14 4:49 AM
295,4526,8812,11/18/14 2:04 AM
296,4579,8217,7/24/14 2:09 PM
297,2039,1847,5/13/14 12:52 AM
298,305,7354,7/7/14 3:00 AM
299,4516,4658,8/10/15 8:55 PM
300,4183,4774,5/31/14 4:49 PM
301,316,3423,7/29/15 8:42 AM
302,3432,5955,9/5/15 11:04 PM
303,1242,4361,12/20/14 1:21 AM
304,1431,1466,11/1/14 9:26 PM
305,3865,6701,6/14/15 3:03 AM
306,457,1459,6/20/14 3:45 AM
307,1136,7033,6/21/14 1:47 AM
308,439,1133,4/6/14 9:42 AM
309,4819,5303,10/14/15 7:45 AM
