id,video_id,user_id,time
1,4953,2275,12/4/14 11:25 AM
2,1854,1107,11/2/15 2:29 AM
3,2536,2126,8/13/15 11:29 AM
4,1630,289,11/22/15 3:50 PM
5,4160,3626,12/13/14 11:42 AM
6,3746,2035,9/14/14 7:47 PM
7,3721,2463,8/25/14 11:47 PM
8,7611,3218,11/13/15 9:04 AM
9,701,463,1/11/15 8:17 PM
10,3127,2726,2/8/15 7:53 AM
11,4339,2474,6/28/15 5:50 AM
12,7017,3979,12/21/15 8:53 AM
13,9880,4484,2/11/15 11:50 AM
14,2219,1489,10/22/15 8:14 AM
15,7257,3351,5/26/15 6:58 PM
16,5562,3295,9/30/15 3:03 AM
17,6973,4422,6/3/14 12:08 AM
18,434,1051,8/20/15 12:58 AM
19,4063,2342,4/15/14 8:15 PM
20,9788,3977,10/10/15 8:34 AM
21,5019,3154,3/5/15 2:21 AM
22,9040,1994,5/14/15 2:21 AM
23,1040,1400,10/27/14 4:15 AM
24,4825,3010,8/31/15 8:28 PM
25,6113,1300,9/3/14 3:10 AM
26,2590,2277,2/11/14 10:37 AM
27,9320,4742,8/4/15 11:16 AM
28,9446,4187,8/8/14 2:47 AM
29,1660,1602,8/26/15 4:22 PM
30,5248,2695,10/23/14 11:32 PM
31,8995,4537,4/17/14 7:29 PM
32,9302,4276,10/17/15 1:50 AM
33,6086,3213,1/7/15 6:22 PM
34,797,1047,5/22/15 11:06 PM
35,9848,4621,2/16/15 4:29 AM
36,1758,488,8/13/14 3:49 PM
37,3093,638,4/11/14 11:43 PM
38,3764,2201,5/19/14 4:41 AM
39,8445,4054,11/1/15 6:46 AM
40,4509,2901,8/19/15 3:29 AM
41,2668,3871,11/27/14 8:52 PM
42,697,295,3/28/15 4:40 PM
43,8228,3902,3/21/15 4:51 AM
44,4861,3059,11/23/14 7:47 PM
45,4717,2121,8/11/14 5:59 AM
46,2615,2452,9/26/14 11:06 AM
47,9870,4789,11/3/15 4:00 PM
48,9707,4825,3/23/15 4:33 AM
49,2293,591,2/11/14 10:01 PM
50,2994,813,11/6/14 2:51 AM
51,3491,67,7/2/15 3:25 PM
52,1015,157,3/19/14 11:02 PM
53,6450,4128,11/6/15 1:56 PM
54,1396,1279,4/20/15 10:23 AM
55,2027,1135,7/16/15 8:01 PM
56,1039,147,2/21/14 3:14 PM
57,8597,4054,1/1/15 11:08 AM
58,5315,3126,3/13/15 9:49 AM
59,7453,3953,2/27/14 4:36 PM
60,820,137,3/10/15 7:58 AM
61,546,409,7/22/14 1:29 PM
62,5975,115,4/19/14 12:00 PM
63,1680,1292,12/6/14 7:55 PM
64,8940,3654,8/2/14 9:31 PM
65,4860,2553,6/13/14 8:17 AM
66,7900,4271,2/12/15 5:44 PM
67,4708,3134,9/9/14 10:49 PM
68,690,690,9/18/15 8:21 PM
69,5817,2563,3/28/14 4:11 AM
70,1610,957,11/26/14 3:53 AM
71,5258,2088,8/10/15 6:07 PM
72,4196,666,12/3/14 9:52 AM
73,8769,1858,3/21/14 4:37 AM
74,2430,2014,10/21/14 6:49 PM
75,1537,673,6/5/15 6:19 AM
76,9219,4350,8/7/14 1:52 AM
77,6855,3649,8/17/14 3:12 AM
78,1377,92,6/28/15 9:24 PM
79,1653,1397,6/27/15 10:15 PM
80,5827,2833,12/26/15 10:12 PM
81,7976,4304,8/13/14 2:20 AM
82,5597,3267,5/13/14 8:07 AM
83,2241,421,2/14/15 12:51 AM
84,4946,2319,2/1/15 6:38 AM
85,2391,1494,9/10/15 7:35 PM
86,5015,2848,12/5/14 4:02 PM
87,5369,2809,12/14/14 7:35 AM
88,3926,1860,8/7/15 10:12 AM
89,1593,1001,12/22/15 10:38 AM
90,7199,4730,10/23/15 2:50 PM
91,1699,731,3/27/15 11:12 PM
92,8258,4473,8/5/14 7:17 AM
93,633,101,5/26/14 4:50 PM
94,3979,2843,10/3/14 10:01 AM
95,5681,4400,7/5/14 7:12 PM
96,1184,803,10/23/15 11:53 PM
97,3188,56,1/11/15 12:58 AM
98,1639,131,1/21/15 2:34 AM
99,4041,2238,2/2/14 12:19 AM
100,6057,2142,8/5/15 7:09 PM
101,8212,2128,5/17/14 1:14 PM
102,4655,2863,9/1/15 12:08 AM
103,9783,3439,11/4/14 1:00 PM
104,2933,1084,1/24/15 1:53 AM
105,3731,2052,3/19/14 10:37 PM
106,5523,3172,3/13/14 12:05 AM
107,1251,2285,5/29/14 12:04 AM
108,6162,3879,10/26/14 8:30 PM
109,7425,2944,6/23/15 4:16 AM
110,8594,4569,3/22/15 12:04 PM
111,4612,2406,8/21/15 8:30 AM
112,9323,4586,5/16/14 1:27 PM
113,4979,1611,9/20/14 7:24 PM
114,3516,1535,9/10/15 12:14 AM
115,5520,4773,10/16/15 8:22 AM
116,5693,3178,11/28/14 9:25 PM
117,7583,4068,5/20/15 3:23 PM
118,1759,1874,2/15/15 3:36 PM
119,4851,4251,9/17/15 4:56 PM
120,7124,3041,3/29/14 3:28 AM
121,9010,2539,4/22/14 6:11 PM
122,2000,572,3/24/14 7:45 AM
123,7048,148,2/11/14 10:48 AM
124,3146,1854,3/30/14 12:32 PM
125,9473,3996,1/7/15 4:44 AM
126,157,446,8/4/14 10:05 AM
127,1476,1391,7/20/14 4:03 PM
128,2114,1077,4/19/14 8:07 AM
129,2054,1016,4/1/15 1:41 PM
130,5123,2542,3/22/15 11:56 PM
131,2478,371,4/11/14 9:09 AM
132,1438,140,12/5/15 12:11 PM
133,6449,3732,6/3/15 8:22 PM
134,8571,3875,3/18/14 8:52 PM
135,3560,2378,12/4/15 3:46 AM
136,8758,3721,2/25/15 5:22 AM
137,6670,2886,4/24/14 9:36 PM
138,6192,3604,3/30/15 12:40 AM
139,4936,1516,1/4/15 9:42 AM
140,4519,1041,11/17/15 6:33 AM
141,3961,303,8/16/15 4:39 AM
142,425,548,6/18/15 9:38 PM
143,6748,2978,6/10/14 9:20 AM
144,1488,542,4/23/15 8:08 AM
145,1329,648,7/28/15 9:59 PM
146,8326,4358,6/14/14 4:59 AM
147,7078,4370,12/14/14 11:53 PM
148,5219,1927,2/4/15 11:02 AM
149,6561,3317,6/12/14 1:52 AM
150,8713,2671,4/4/15 1:51 AM
151,1536,199,5/15/14 11:33 PM
152,9363,4717,7/28/14 11:15 PM
153,9007,4805,4/8/14 5:08 PM
154,9004,4577,4/15/14 7:57 AM
155,8427,2320,4/10/14 5:40 AM
156,4599,2735,1/16/15 9:15 PM
157,8897,3292,6/24/15 9:01 PM
158,9432,4875,4/10/15 12:11 PM
159,6879,4931,8/30/14 10:24 PM
160,4675,2478,7/17/14 11:22 AM
161,3273,2274,10/11/14 6:41 AM
162,608,51,12/3/14 9:50 PM
163,4117,2502,11/26/14 8:59 PM
164,9462,4075,9/16/14 5:58 PM
165,6798,3702,12/7/14 9:00 AM
166,2691,2049,12/12/14 2:17 AM
167,1681,1686,8/17/15 12:12 PM
168,1190,1379,9/17/14 8:19 PM
169,3704,3113,2/12/14 2:24 AM
170,3862,3000,3/10/14 8:39 PM
171,7624,3673,3/14/15 9:51 PM
172,1800,1087,12/10/14 10:51 AM
173,1850,2134,10/14/15 3:08 PM
174,6192,3604,11/17/15 6:44 AM
175,9765,4264,8/10/15 8:33 AM
176,208,58,8/18/15 12:11 PM
177,448,764,5/20/14 10:05 PM
178,1401,360,4/2/14 10:22 AM
179,7872,4188,12/3/15 2:18 AM
180,6233,4529,2/1/14 5:44 AM
181,8929,2683,2/2/15 11:51 PM
182,9929,4170,10/17/15 1:09 PM
183,3979,2843,4/18/14 6:51 AM
184,9146,1153,10/29/14 3:04 AM
185,8909,3797,5/4/14 5:40 AM
186,3694,1874,6/1/15 1:19 AM
187,11,136,9/30/15 8:26 AM
188,3341,2455,6/11/15 7:43 AM
189,7038,1971,9/19/14 3:44 AM
190,3231,2604,3/31/15 10:53 PM
191,8138,4050,10/26/14 11:21 AM
192,993,1442,3/27/14 9:16 AM
193,9152,4355,10/5/14 8:33 AM
194,6784,2716,5/19/15 1:34 PM
195,1670,2,8/31/14 3:17 PM
196,3356,1728,7/13/15 10:38 PM
197,6464,2640,2/15/14 9:27 PM
198,7965,4051,2/11/15 8:49 PM
199,9047,3214,9/17/14 3:10 AM
200,1572,1381,4/23/14 12:58 AM
201,6393,4702,10/18/15 3:24 PM
202,7289,683,1/25/15 3:06 PM
203,2036,589,4/9/14 1:57 AM
204,160,411,8/11/14 6:24 AM
205,9754,3893,12/27/15 11:55 PM
206,2586,283,10/23/15 4:25 AM
207,422,628,7/16/14 2:08 PM
208,3997,1737,8/3/15 3:20 PM
209,1808,432,10/30/14 4:14 AM
210,4103,3342,5/13/14 8:57 AM
211,648,46,11/9/14 10:59 AM
212,8150,4136,11/29/14 5:16 AM
213,8096,2493,4/23/14 8:35 AM
214,3616,3044,6/23/15 5:56 AM
215,1486,2029,9/14/15 12:29 AM
216,6439,3043,7/5/14 2:02 AM
217,7498,3173,10/15/14 12:43 AM
218,688,932,12/22/14 10:51 PM
219,4919,3438,7/30/15 9:36 PM
220,9097,3658,3/23/15 6:03 AM
221,9414,4905,4/10/14 5:22 AM
222,6721,2427,8/11/14 12:51 AM
223,602,1034,2/9/14 1:03 AM
224,4554,2877,9/1/14 5:21 PM
225,1260,816,1/14/15 7:06 AM
226,1511,952,11/21/14 12:47 AM
227,3785,2250,12/25/14 12:42 PM
228,6909,4177,6/27/15 12:28 PM
229,2510,1724,5/7/15 2:29 AM
230,3806,1458,10/29/15 9:23 AM
231,6867,3734,11/30/14 2:11 AM
232,4193,2626,2/14/14 8:09 AM
233,9571,3994,6/20/14 10:27 AM
234,4955,2294,12/26/14 8:15 PM
235,3995,2105,3/3/15 10:48 PM
236,3192,1900,10/23/15 6:09 AM
237,4935,879,5/24/14 2:48 AM
238,1430,456,9/23/15 1:25 PM
239,3576,2620,9/2/15 8:07 AM
240,1912,817,4/20/15 7:31 AM
241,8533,4956,3/9/15 2:50 PM
242,1874,1865,3/7/14 7:13 AM
243,9056,4101,5/17/15 10:52 PM
244,8828,4695,11/29/15 9:03 PM
245,8962,4950,11/14/14 4:00 AM
246,8224,3576,10/14/15 3:16 AM
247,3613,1535,4/10/15 8:25 PM
248,4347,2523,4/16/15 1:52 AM
249,2936,1209,8/17/15 1:31 AM
250,9630,4839,10/11/15 12:55 PM
251,979,396,1/9/15 9:43 AM
252,7374,3028,4/6/14 7:30 PM
253,4936,1516,12/9/15 12:00 AM
254,5622,1520,9/21/15 11:37 PM
255,5389,547,7/21/14 7:05 PM
256,9897,4574,3/12/14 1:28 AM
257,3030,1669,5/26/15 8:13 PM
258,3319,243,2/1/15 6:12 AM
259,6414,2995,8/27/14 6:12 PM
260,2540,990,10/22/15 5:05 PM
261,8723,3494,5/28/15 11:34 AM
262,6259,3559,5/30/14 8:27 AM
263,815,1094,2/19/14 10:59 AM
264,7518,3344,4/8/14 6:22 PM
265,714,966,12/19/15 1:44 PM
266,5763,2485,6/8/15 9:10 AM
267,5041,486,6/4/14 11:36 AM
268,2781,2434,5/27/15 3:35 PM
269,4927,2489,6/23/15 11:30 PM
270,5816,3853,11/25/15 4:44 AM
271,3503,2595,3/7/14 6:19 AM
272,9292,822,9/15/14 4:23 AM
273,214,605,5/10/15 4:37 AM
274,8422,4708,10/3/14 4:05 PM
275,3085,1313,7/16/14 7:08 PM
276,3833,2783,2/5/14 1:25 PM
277,562,1083,6/17/15 3:43 AM
278,1466,864,6/30/14 2:13 AM
279,9959,4031,12/29/15 9:40 AM
280,5454,3123,4/27/15 12:52 PM
281,9461,4680,6/2/14 9:42 PM
282,7686,4691,3/18/15 12:45 AM
283,5976,2099,12/11/15 1:32 PM
284,2203,1618,5/27/15 11:40 AM
285,880,133,3/29/15 7:24 AM
286,9796,4827,6/22/15 2:31 PM
287,5228,4612,12/17/14 8:52 PM
288,6955,4278,11/26/15 3:37 PM
289,7326,3529,5/19/15 9:58 PM
290,9927,3446,11/22/15 7:57 AM
291,2123,156,6/5/15 3:44 AM
292,3050,2452,9/7/14 5:32 PM
293,6255,4445,12/24/14 6:17 PM
294,4988,2363,4/20/14 4:48 AM
295,6221,4910,8/7/14 7:19 AM
296,2311,471,11/9/15 4:44 PM
297,4153,17,8/23/14 5:28 PM
298,1762,1428,10/4/14 1:05 AM
299,2863,1871,5/12/14 10:50 AM
300,7243,2581,8/15/14 2:46 AM
301,238,756,5/25/15 11:08 AM
302,7965,4051,8/29/14 11:45 AM
303,4295,2057,10/9/14 1:47 AM
304,9135,4235,12/13/14 1:28 AM
305,4077,2032,6/9/15 8:08 PM
306,9383,3367,10/23/15 4:48 AM
307,900,1406,12/13/15 3:20 PM
308,1182,883,8/22/15 5:09 AM
309,6979,2824,2/25/15 9:56 PM
310,9716,4705,5/19/15 7:39 PM
311,2346,1000,11/12/14 2:39 PM
312,7869,4424,2/1/14 10:05 AM
313,7170,4016,1/13/15 12:58 AM
314,8488,4375,7/2/14 3:59 PM
315,9406,4532,8/11/14 4:58 AM
316,1550,1030,9/29/15 9:28 PM
317,9667,1461,5/23/15 9:37 PM
318,7274,4019,11/14/14 11:58 AM
319,5447,319,10/19/14 8:07 PM
320,3624,2425,9/2/15 4:48 AM
321,4559,321,8/24/14 7:18 PM
322,739,356,8/10/14 5:05 PM
323,9828,4697,11/23/15 5:29 AM
324,304,127,7/28/15 12:47 AM
325,500,1919,2/15/15 5:47 PM
326,1513,241,6/29/14 9:02 PM
327,8780,4785,4/28/14 5:30 AM
328,3072,501,3/25/14 2:52 PM
329,2130,587,11/29/15 1:54 PM
330,5446,2611,7/20/14 4:49 PM
331,2742,1905,11/11/14 3:09 AM
332,3597,2233,3/20/14 3:22 AM
333,4648,2799,3/16/14 7:50 AM
334,8502,2976,6/24/14 3:01 AM
335,1551,317,6/2/14 7:43 PM
336,2606,1765,2/2/15 6:55 AM
337,7129,3990,2/15/14 8:40 PM
338,8093,3586,11/26/14 1:40 AM
339,5887,3568,11/4/15 1:11 AM
340,3123,2067,6/7/15 8:07 AM
341,8144,632,8/19/15 12:30 AM
342,2626,2000,9/12/14 8:26 AM
343,7658,4238,3/8/15 6:59 AM
344,1567,2240,10/26/15 12:06 AM
345,3572,2760,7/12/15 10:57 AM
346,645,356,2/28/15 12:44 PM
347,4691,3712,8/6/14 3:48 PM
348,276,919,9/4/14 10:34 PM
349,7506,3720,5/23/14 7:31 AM
350,7645,4173,11/19/14 10:11 PM
351,2231,1639,12/11/15 8:23 PM
352,985,231,6/26/14 5:22 PM
353,5236,3180,11/26/14 8:57 AM
354,3922,1185,11/22/14 6:01 PM
355,7728,4258,2/27/14 2:09 PM
356,7368,3615,6/29/14 8:09 PM
357,3096,2409,7/13/14 8:17 AM
358,4035,1895,12/4/15 3:18 AM
359,5043,3777,7/10/14 9:11 AM
360,1630,289,3/14/14 2:26 PM
361,7135,3675,3/7/14 7:32 AM
362,7663,3780,6/30/15 2:50 PM
363,381,1374,2/6/15 12:14 PM
364,4903,2597,9/24/14 11:20 PM
365,1738,1746,10/29/15 6:49 PM
366,5818,3422,5/12/14 7:36 AM
367,6203,36,10/29/14 11:52 AM
368,9452,4947,2/27/14 2:50 PM
369,5000,2817,8/12/15 2:32 PM
370,8546,115,9/4/15 3:49 AM
371,5451,2673,2/19/15 9:37 AM
372,6423,3061,6/22/15 12:45 AM
373,4811,2239,3/28/14 4:40 PM
374,9538,4675,12/1/15 1:01 PM
375,8884,4782,7/11/14 7:12 PM
376,6955,4278,10/1/14 2:13 PM
377,7370,3688,3/7/14 3:23 AM
378,923,266,12/14/14 3:04 AM
379,11,136,5/19/14 3:08 AM
380,4106,2745,9/10/14 7:10 AM
381,89,1521,7/18/15 9:32 PM
382,3458,1906,3/10/14 5:57 AM
383,6549,4426,12/3/15 1:45 AM
384,9015,4413,5/3/14 1:49 AM
385,5741,3101,1/7/15 7:50 PM
386,5571,2824,3/2/14 2:16 PM
387,8052,3997,10/3/15 8:14 PM
388,4601,2355,9/23/15 6:47 AM
389,9661,4364,7/18/15 9:19 PM
390,6275,3413,10/28/15 6:59 AM
391,2931,1455,11/28/15 11:32 PM
392,7493,4318,11/1/14 1:07 AM
393,7926,4651,12/16/15 5:36 AM
394,6054,2054,6/1/15 5:37 PM
395,1478,1386,6/18/15 12:42 PM
396,2982,1835,10/31/15 4:04 PM
397,5741,3101,5/2/15 2:43 AM
398,2543,1992,11/10/14 2:31 PM
399,919,562,9/14/15 6:39 AM
400,978,508,10/17/14 11:59 PM
401,9764,4680,8/13/15 12:19 PM
402,8119,3155,6/24/15 2:46 AM
403,4693,2806,10/20/15 6:13 AM
404,5905,1900,8/23/14 9:21 AM
405,866,1098,3/23/14 6:26 PM
406,5360,3661,1/8/15 10:07 PM
407,5489,2933,11/21/14 11:36 PM
408,1827,2476,4/28/15 2:54 AM
409,3686,657,8/22/15 3:31 PM
410,3464,2287,6/11/15 11:47 PM
411,7369,1770,7/18/15 12:46 PM
412,8512,4865,10/22/15 8:04 PM
413,5523,3172,2/18/15 4:20 PM
414,2852,2394,4/26/15 9:15 AM
415,3843,2446,6/3/14 11:41 PM
416,6330,103,9/21/14 4:16 AM
417,9976,3943,7/2/14 8:54 AM
418,9523,3977,4/8/14 8:02 AM
419,3315,701,5/22/14 2:05 PM
420,5367,2295,6/30/14 11:33 AM
421,7783,4502,8/13/14 11:28 PM
422,821,811,6/9/14 4:20 AM
423,8198,4324,11/2/15 3:05 AM
424,7296,1758,8/2/15 12:10 AM
425,1062,1296,11/6/15 7:06 PM
426,2801,1334,2/8/14 7:30 PM
427,7191,2904,5/23/15 2:43 PM
428,41,784,3/3/14 7:21 PM
429,9773,4859,6/11/15 9:31 AM
430,7584,3037,7/2/14 10:36 PM
431,5223,4540,2/25/15 5:05 PM
432,3853,611,3/18/15 12:14 AM
433,2370,1938,2/11/14 12:22 AM
434,7618,4263,11/7/15 5:01 PM
435,4930,1701,10/29/15 5:55 PM
