hTeam,vteam,hScore,vScore
Boston Bruins,NY Rangers Rangers,3,2
Boston Bruins,NY Rangers Rangers,5,2
NY Rangers Rangers,Boston Bruins,1,2
NY Rangers Rangers,Boston Bruins,4,3
Boston Bruins,NY Rangers Rangers,3,1
Pittsburgh Penguins,Boston Bruins,0,3
Pittsburgh Penguins,Boston Bruins,1,6
Boston Bruins,Pittsburgh Penguins,2,1
Boston Bruins,Pittsburgh Penguins,1,0
Chicago Blackhawks,Detroit Red Wings,4,1
Chicago Blackhawks,Detroit Red Wings,1,4
Detroit Red Wings,Chicago Blackhawks,3,1
Detroit Red Wings,Chicago Blackhawks,2,0
Chicago Blackhawks,Detroit Red Wings,4,1
Detroit Red Wings,Chicago Blackhawks,3,4
Chicago Blackhawks,Detroit Red Wings,2,1
Montreal Canadiens,Ottawa Senators,2,4
Montreal Canadiens,Ottawa Senators,3,1
Ottawa Senators,Montreal Canadiens,6,1
Ottawa Senators,Montreal Canadiens,3,2
Montreal Canadiens,Ottawa Senators,1,6
Chicago Blackhawks,Minnesota Wild,2,1
Chicago Blackhawks,Minnesota Wild,5,2
Minnesota Wild,Chicago Blackhawks,3,2
Minnesota Wild,Chicago Blackhawks,0,3
Chicago Blackhawks,Minnesota Wild,5,1
St Louis Blues,Los Angeles Kings,2,1
St Louis Blues,Los Angeles Kings,2,1
Los Angeles Kings,St Louis Blues,1,0
Los Angeles Kings,St Louis Blues,4,3
St Louis Blues,Los Angeles Kings,2,3
Los Angeles Kings,St Louis Blues,2,1
San Diego Sockers,Detroit Red Wings,3,1
San Diego Sockers,Detroit Red Wings,4,5
Detroit Red Wings,San Diego Sockers,0,4
Detroit Red Wings,San Diego Sockers,3,2
San Diego Sockers,Detroit Red Wings,3,2
Detroit Red Wings,San Diego Sockers,4,3
San Diego Sockers,Detroit Red Wings,2,3
Pittsburgh Penguins,NY Islanders Islanders,5,0
Pittsburgh Penguins,NY Islanders Islanders,3,4
NY Islanders Islanders,Pittsburgh Penguins,4,5
NY Islanders Islanders,Pittsburgh Penguins,6,4
Pittsburgh Penguins,NY Islanders Islanders,4,0
NY Islanders Islanders,Pittsburgh Penguins,3,4
Washington Capitals,NY Rangers Rangers,3,1
Washington Capitals,NY Rangers Rangers,1,0
NY Rangers Rangers,Washington Capitals,4,3
NY Rangers Rangers,Washington Capitals,4,3
Washington Capitals,NY Rangers Rangers,2,1
NY Rangers Rangers,Washington Capitals,1,0
Washington Capitals,NY Rangers Rangers,0,5
Chicago Blackhawks,Los Angeles Kings,2,1
Chicago Blackhawks,Los Angeles Kings,4,2
Los Angeles Kings,Chicago Blackhawks,3,1
Los Angeles Kings,Chicago Blackhawks,2,3
Chicago Blackhawks,Los Angeles Kings,4,3
San Diego Sockers,Calgary Flames,3,2
San Diego Sockers,Calgary Flames,3,2
Calgary Flames,San Diego Sockers,4,5
Calgary Flames,San Diego Sockers,1,3
Tampa Bay Lightning,Chicago Blackhawks,1,2
Tampa Bay Lightning,Chicago Blackhawks,4,3
Chicago Blackhawks,Tampa Bay Lightning,2,3
Chicago Blackhawks,Tampa Bay Lightning,2,1
Tampa Bay Lightning,Chicago Blackhawks,1,2
Chicago Blackhawks,Tampa Bay Lightning,2,0
Pittsburgh Penguins,NY Rangers Rangers,5,2
Pittsburgh Penguins,NY Rangers Rangers,2,4
NY Rangers Rangers,Pittsburgh Penguins,1,3
NY Rangers Rangers,Pittsburgh Penguins,0,5
Pittsburgh Penguins,NY Rangers Rangers,6,3
Los Angeles Kings,San Jose Sharks,3,4
Los Angeles Kings,San Jose Sharks,1,2
San Jose Sharks,Los Angeles Kings,1,2
San Jose Sharks,Los Angeles Kings,3,2
Los Angeles Kings,San Jose Sharks,3,6
St Louis Blues,Chicago Blackhawks,4,3
St Louis Blues,Chicago Blackhawks,4,3
Chicago Blackhawks,St Louis Blues,2,0
Chicago Blackhawks,St Louis Blues,4,3
St Louis Blues,Chicago Blackhawks,2,3
Chicago Blackhawks,St Louis Blues,5,1
Washington Capitals,Philadelphia Flyers,2,0
Washington Capitals,Philadelphia Flyers,4,1
Philadelphia Flyers,Washington Capitals,1,6
Philadelphia Flyers,Washington Capitals,2,1
Washington Capitals,Philadelphia Flyers,0,2
Philadelphia Flyers,Washington Capitals,0,1
NY Rangers Rangers,Pittsburgh Penguins,2,1
NY Rangers Rangers,Pittsburgh Penguins,3,4
Pittsburgh Penguins,NY Rangers Rangers,1,2
Pittsburgh Penguins,NY Rangers Rangers,1,2
NY Rangers Rangers,Pittsburgh Penguins,2,1
NY Rangers Rangers,Tampa Bay Lightning,2,1
NY Rangers Rangers,Tampa Bay Lightning,2,6
Tampa Bay Lightning,NY Rangers Rangers,6,5
Tampa Bay Lightning,NY Rangers Rangers,1,5
NY Rangers Rangers,Tampa Bay Lightning,0,2
Tampa Bay Lightning,NY Rangers Rangers,3,7
NY Rangers Rangers,Tampa Bay Lightning,0,2
Colorado Avalanche,Minnesota Wild,5,4
Colorado Avalanche,Minnesota Wild,4,2
Minnesota Wild,Colorado Avalanche,1,0
Minnesota Wild,Colorado Avalanche,2,1
Colorado Avalanche,Minnesota Wild,4,3
Minnesota Wild,Colorado Avalanche,5,2
Colorado Avalanche,Minnesota Wild,4,5
Dallas Stars,Minnesota Wild,4,0
Dallas Stars,Minnesota Wild,2,1
Minnesota Wild,Dallas Stars,5,3
Minnesota Wild,Dallas Stars,2,3
Dallas Stars,Minnesota Wild,4,5
Minnesota Wild,Dallas Stars,4,5
St Louis Blues,Minnesota Wild,2,4
St Louis Blues,Minnesota Wild,4,1
Minnesota Wild,St Louis Blues,3,0
Minnesota Wild,St Louis Blues,1,6
St Louis Blues,Minnesota Wild,1,4
Minnesota Wild,St Louis Blues,4,1
Montreal Canadiens,Ottawa Senators,4,3
Montreal Canadiens,Ottawa Senators,3,2
Ottawa Senators,Montreal Canadiens,1,2
Ottawa Senators,Montreal Canadiens,1,0
Montreal Canadiens,Ottawa Senators,1,5
Ottawa Senators,Montreal Canadiens,0,2
San Diego Sockers,Los Angeles Kings,2,3
San Diego Sockers,Los Angeles Kings,1,3
Los Angeles Kings,San Diego Sockers,2,3
Los Angeles Kings,San Diego Sockers,0,2
San Diego Sockers,Los Angeles Kings,4,3
Los Angeles Kings,San Diego Sockers,2,1
San Diego Sockers,Los Angeles Kings,2,6
Chicago Blackhawks,Minnesota Wild,4,3
Chicago Blackhawks,Minnesota Wild,4,1
Minnesota Wild,Chicago Blackhawks,0,1
Minnesota Wild,Chicago Blackhawks,3,4
Chicago Blackhawks,Los Angeles Kings,3,1
Chicago Blackhawks,Los Angeles Kings,2,6
Los Angeles Kings,Chicago Blackhawks,4,3
Los Angeles Kings,Chicago Blackhawks,5,2
Chicago Blackhawks,Los Angeles Kings,5,4
Los Angeles Kings,Chicago Blackhawks,3,4
Chicago Blackhawks,Los Angeles Kings,4,5
Washington Capitals,Pittsburgh Penguins,4,3
Washington Capitals,Pittsburgh Penguins,1,2
Pittsburgh Penguins,Washington Capitals,3,2
Pittsburgh Penguins,Washington Capitals,3,2
Washington Capitals,Pittsburgh Penguins,3,1
Pittsburgh Penguins,Washington Capitals,4,3
Florida Panthers,NY Islanders Islanders,4,5
Florida Panthers,NY Islanders Islanders,3,1
NY Islanders Islanders,Florida Panthers,4,3
NY Islanders Islanders,Florida Panthers,1,2
Florida Panthers,NY Islanders Islanders,1,2
NY Islanders Islanders,Florida Panthers,2,1
San Diego Sockers,Dallas Stars,4,3
San Diego Sockers,Dallas Stars,3,2
Dallas Stars,San Diego Sockers,3,0
Dallas Stars,San Diego Sockers,4,2
San Diego Sockers,Dallas Stars,6,2
Dallas Stars,San Diego Sockers,4,5
St Louis Blues,Nashville Predators,3,4
St Louis Blues,Nashville Predators,3,2
Nashville Predators,St Louis Blues,3,1
Nashville Predators,St Louis Blues,2,1
St Louis Blues,Nashville Predators,2,1
Nashville Predators,St Louis Blues,3,1
St Louis Blues,Chicago Blackhawks,1,0
St Louis Blues,Chicago Blackhawks,2,3
Chicago Blackhawks,St Louis Blues,2,3
Chicago Blackhawks,St Louis Blues,3,4
St Louis Blues,Chicago Blackhawks,3,4
Chicago Blackhawks,St Louis Blues,6,3
St Louis Blues,Chicago Blackhawks,3,2
NY Rangers Rangers,Washington Capitals,1,2
NY Rangers Rangers,Washington Capitals,3,2
Washington Capitals,NY Rangers Rangers,1,0
Washington Capitals,NY Rangers Rangers,2,1
NY Rangers Rangers,Washington Capitals,2,1
Washington Capitals,NY Rangers Rangers,3,4
NY Rangers Rangers,Washington Capitals,2,1
Montreal Canadiens,Tampa Bay Lightning,1,2
Montreal Canadiens,Tampa Bay Lightning,2,6
Tampa Bay Lightning,Montreal Canadiens,2,1
Tampa Bay Lightning,Montreal Canadiens,2,6
Montreal Canadiens,Tampa Bay Lightning,2,1
Tampa Bay Lightning,Montreal Canadiens,4,1
Washington Capitals,Toronto Maple Leafs,3,2
Washington Capitals,Toronto Maple Leafs,3,4
Toronto Maple Leafs,Washington Capitals,4,3
Toronto Maple Leafs,Washington Capitals,4,5
Washington Capitals,Toronto Maple Leafs,2,1
Toronto Maple Leafs,Washington Capitals,1,2
Pittsburgh Penguins,Columbus Blue Jackets,3,1
Pittsburgh Penguins,Columbus Blue Jackets,4,1
Columbus Blue Jackets,Pittsburgh Penguins,4,5
Columbus Blue Jackets,Pittsburgh Penguins,5,4
Pittsburgh Penguins,Columbus Blue Jackets,5,2
Washington Capitals,NY Islanders Islanders,1,4
Washington Capitals,NY Islanders Islanders,4,3
NY Islanders Islanders,Washington Capitals,2,1
NY Islanders Islanders,Washington Capitals,1,2
Washington Capitals,NY Islanders Islanders,5,1
NY Islanders Islanders,Washington Capitals,3,1
Washington Capitals,NY Islanders Islanders,2,1
Minnesota Wild,St Louis Blues,1,2
Minnesota Wild,St Louis Blues,1,2
St Louis Blues,Minnesota Wild,3,1
St Louis Blues,Minnesota Wild,0,2
Minnesota Wild,St Louis Blues,3,4
Pittsburgh Penguins,Tampa Bay Lightning,1,3
Pittsburgh Penguins,Tampa Bay Lightning,3,2
Tampa Bay Lightning,Pittsburgh Penguins,2,4
Tampa Bay Lightning,Pittsburgh Penguins,4,3
Pittsburgh Penguins,Tampa Bay Lightning,3,4
Tampa Bay Lightning,Pittsburgh Penguins,2,5
Pittsburgh Penguins,Tampa Bay Lightning,2,1
Washington Capitals,Pittsburgh Penguins,2,3
Washington Capitals,Pittsburgh Penguins,2,6
Pittsburgh Penguins,Washington Capitals,2,3
Pittsburgh Penguins,Washington Capitals,3,2
Washington Capitals,Pittsburgh Penguins,4,2
Pittsburgh Penguins,Washington Capitals,2,5
Washington Capitals,Pittsburgh Penguins,0,2
San Diego Sockers,Winnipeg Jets,4,2
San Diego Sockers,Winnipeg Jets,2,1
Winnipeg Jets,San Diego Sockers,4,5
Winnipeg Jets,San Diego Sockers,2,5
Vegas Golden Knights,San Jose Sharks,7,0
Vegas Golden Knights,San Jose Sharks,3,4
San Jose Sharks,Vegas Golden Knights,3,4
San Jose Sharks,Vegas Golden Knights,4,0
Vegas Golden Knights,San Jose Sharks,5,3
San Jose Sharks,Vegas Golden Knights,0,3
San Diego Sockers,San Jose Sharks,0,3
San Diego Sockers,San Jose Sharks,2,3
San Jose Sharks,San Diego Sockers,8,1
San Jose Sharks,San Diego Sockers,2,1
Tampa Bay Lightning,Washington Capitals,2,4
Tampa Bay Lightning,Washington Capitals,2,6
Washington Capitals,Tampa Bay Lightning,2,4
Washington Capitals,Tampa Bay Lightning,2,4
Tampa Bay Lightning,Washington Capitals,3,2
Washington Capitals,Tampa Bay Lightning,3,0
Tampa Bay Lightning,Washington Capitals,0,4
Washington Capitals,Columbus Blue Jackets,3,4
Washington Capitals,Columbus Blue Jackets,4,5
Columbus Blue Jackets,Washington Capitals,2,3
Columbus Blue Jackets,Washington Capitals,1,4
Washington Capitals,Columbus Blue Jackets,4,3
Columbus Blue Jackets,Washington Capitals,3,6
Nashville Predators,Winnipeg Jets,1,4
Nashville Predators,Winnipeg Jets,5,4
Winnipeg Jets,Nashville Predators,7,4
Winnipeg Jets,Nashville Predators,1,2
Nashville Predators,Winnipeg Jets,2,6
Winnipeg Jets,Nashville Predators,0,4
Nashville Predators,Winnipeg Jets,1,5
Vegas Golden Knights,Los Angeles Kings,1,0
Vegas Golden Knights,Los Angeles Kings,2,1
Los Angeles Kings,Vegas Golden Knights,2,3
Los Angeles Kings,Vegas Golden Knights,0,1
Tampa Bay Lightning,Boston Bruins,2,6
Tampa Bay Lightning,Boston Bruins,4,2
Boston Bruins,Tampa Bay Lightning,1,4
Boston Bruins,Tampa Bay Lightning,3,4
Tampa Bay Lightning,Boston Bruins,3,1
Pittsburgh Penguins,Philadelphia Flyers,7,0
Pittsburgh Penguins,Philadelphia Flyers,1,5
Philadelphia Flyers,Pittsburgh Penguins,1,5
Philadelphia Flyers,Pittsburgh Penguins,0,5
Pittsburgh Penguins,Philadelphia Flyers,2,4
Philadelphia Flyers,Pittsburgh Penguins,5,8
Tampa Bay Lightning,New Jersey Devils,5,2
Tampa Bay Lightning,New Jersey Devils,5,3
New Jersey Devils,Tampa Bay Lightning,5,2
New Jersey Devils,Tampa Bay Lightning,1,3
Tampa Bay Lightning,New Jersey Devils,3,1
Winnipeg Jets,Vegas Golden Knights,4,2
Winnipeg Jets,Vegas Golden Knights,1,3
Vegas Golden Knights,Winnipeg Jets,4,2
Vegas Golden Knights,Winnipeg Jets,3,2
Winnipeg Jets,Vegas Golden Knights,1,2
Boston Bruins,Toronto Maple Leafs,5,1
Boston Bruins,Toronto Maple Leafs,7,3
Toronto Maple Leafs,Boston Bruins,4,2
Toronto Maple Leafs,Boston Bruins,1,3
Boston Bruins,Toronto Maple Leafs,3,4
Toronto Maple Leafs,Boston Bruins,3,1
Boston Bruins,Toronto Maple Leafs,7,4
Nashville Predators,Colorado Avalanche,5,2
Nashville Predators,Colorado Avalanche,5,4
Colorado Avalanche,Nashville Predators,5,3
Colorado Avalanche,Nashville Predators,2,3
Nashville Predators,Colorado Avalanche,1,2
Colorado Avalanche,Nashville Predators,0,5
Vegas Golden Knights,Washington Capitals,6,4
Vegas Golden Knights,Washington Capitals,2,3
Washington Capitals,Vegas Golden Knights,3,1
Washington Capitals,Vegas Golden Knights,6,2
Vegas Golden Knights,Washington Capitals,3,4
Washington Capitals,Pittsburgh Penguins,2,3
Washington Capitals,Pittsburgh Penguins,4,1
Pittsburgh Penguins,Washington Capitals,3,4
Pittsburgh Penguins,Washington Capitals,3,1
Washington Capitals,Pittsburgh Penguins,6,3
Pittsburgh Penguins,Washington Capitals,1,2
Winnipeg Jets,Minnesota Wild,3,2
Winnipeg Jets,Minnesota Wild,4,1
Minnesota Wild,Winnipeg Jets,6,2
Minnesota Wild,Winnipeg Jets,0,2
Winnipeg Jets,Minnesota Wild,5,0
Vancouver Canucks,St Louis Blues,2,1
Philadelphia Flyers,San Diego Sockers,2,3
San Diego Sockers,Columbus Blue Jackets,3,2
Boston Bruins,Carolina Hurricanes,6,2
Columbus Blue Jackets,Detroit Red Wings,4,2
NY Islanders Islanders,New Jersey Devils,0,3
Phoenix Coyotes,Los Angeles Kings,5,2
San Diego Sockers,Washington Capitals,2,3
Minnesota Wild,Los Angeles Kings,3,3
Nashville Predators,Calgary Flames,4,2
Boston Bruins,Detroit Red Wings,4,1
Buffalo Sabres,Washington Capitals,3,3
Calgary Flames,Chicago Blackhawks,2,2
Vancouver Canucks,St Louis Blues,1,0
San Diego Sockers,Montreal Canadiens,3,3
Pittsburgh Penguins,Philadelphia Flyers,1,2
NY Islanders Islanders,Pittsburgh Penguins,2,3
Tampa Bay Lightning,Winnipeg Jets,1,2
Boston Bruins,Florida Panthers,4,1
San Jose Sharks,Tampa Bay Lightning,5,1
Minnesota Wild,Boston Bruins,3,3
Buffalo Sabres,San Jose Sharks,4,2
Buffalo Sabres,Washington Capitals,1,1
Detroit Red Wings,Colorado Avalanche,3,2
Toronto Maple Leafs,Vancouver Canucks,3,1
Minnesota Wild,Edmonton Oilers,1,6
Calgary Flames,Toronto Maple Leafs,2,4
San Diego Sockers,Minnesota Wild,2,4
St Louis Blues,Calgary Flames,3,2
Phoenix Coyotes,Calgary Flames,6,0
NY Islanders Islanders,New Jersey Devils,1,2
Toronto Maple Leafs,Columbus Blue Jackets,0,6
Vancouver Canucks,Toronto Maple Leafs,4,0
Boston Bruins,Florida Panthers,6,2
Detroit Red Wings,Edmonton Oilers,3,0
Colorado Avalanche,Minnesota Wild,1,1
Tampa Bay Lightning,Buffalo Sabres,1,3
Toronto Maple Leafs,New Jersey Devils,4,2
NY Islanders Islanders,Florida Panthers,5,2
San Jose Sharks,St Louis Blues,3,4
NY Islanders Islanders,Toronto Maple Leafs,5,4
Boston Bruins,Florida Panthers,4,1
Toronto Maple Leafs,Ottawa Senators,3,0
Pittsburgh Penguins,Philadelphia Flyers,3,4
Colorado Avalanche,Winnipeg Jets,3,2
Ottawa Senators,Calgary Flames,6,3
Dallas Stars,Philadelphia Flyers,5,1
New Jersey Devils,Ottawa Senators,5,2
Pittsburgh Penguins,Columbus Blue Jackets,4,2
New Jersey Devils,Florida Panthers,2,1
Nashville Predators,Detroit Red Wings,4,3
NY Islanders Islanders,Pittsburgh Penguins,4,6
Ottawa Senators,Toronto Maple Leafs,1,4
Edmonton Oilers,San Jose Sharks,1,3
Calgary Flames,San Jose Sharks,2,3
Nashville Predators,Columbus Blue Jackets,0,1
NY Islanders Islanders,Buffalo Sabres,2,3
Philadelphia Flyers,Winnipeg Jets,5,3
NY Islanders Islanders,Phoenix Coyotes,6,1
Florida Panthers,Edmonton Oilers,3,4
Florida Panthers,Detroit Red Wings,3,4
Minnesota Wild,San Jose Sharks,3,1
Columbus Blue Jackets,Chicago Blackhawks,2,3
Calgary Flames,St Louis Blues,3,3
Dallas Stars,Minnesota Wild,4,7
St Louis Blues,Calgary Flames,4,1
Minnesota Wild,Phoenix Coyotes,4,3
Washington Capitals,New Jersey Devils,2,3
Winnipeg Jets,Buffalo Sabres,4,1
Dallas Stars,Vancouver Canucks,5,1
Columbus Blue Jackets,Vancouver Canucks,1,1
Toronto Maple Leafs,Montreal Canadiens,5,3
St Louis Blues,Nashville Predators,4,2
Toronto Maple Leafs,Columbus Blue Jackets,1,2
Washington Capitals,Buffalo Sabres,3,2
Los Angeles Kings,Chicago Blackhawks,2,5
NY Rangers Rangers,New Jersey Devils,3,4
Dallas Stars,Nashville Predators,7,3
Los Angeles Kings,Calgary Flames,6,2
Vancouver Canucks,Edmonton Oilers,2,2
New Jersey Devils,Winnipeg Jets,1,3
Colorado Avalanche,Edmonton Oilers,4,2
Ottawa Senators,Colorado Avalanche,1,3
Detroit Red Wings,Minnesota Wild,2,4
Los Angeles Kings,Minnesota Wild,2,3
New Jersey Devils,Montreal Canadiens,3,2
Toronto Maple Leafs,St Louis Blues,3,5
Tampa Bay Lightning,Boston Bruins,3,3
Edmonton Oilers,St Louis Blues,0,6
Los Angeles Kings,Columbus Blue Jackets,2,1
Minnesota Wild,Philadelphia Flyers,2,0
St Louis Blues,San Diego Sockers,2,5
Ottawa Senators,NY Rangers Rangers,1,4
Florida Panthers,Tampa Bay Lightning,2,3
Buffalo Sabres,New Jersey Devils,2,1
Buffalo Sabres,Montreal Canadiens,4,4
Carolina Hurricanes,Calgary Flames,0,2
San Diego Sockers,Los Angeles Kings,2,2
Nashville Predators,Chicago Blackhawks,7,2
Chicago Blackhawks,Phoenix Coyotes,4,4
Buffalo Sabres,Pittsburgh Penguins,3,4
Dallas Stars,Los Angeles Kings,5,1
Los Angeles Kings,Washington Capitals,1,1
Carolina Hurricanes,Vancouver Canucks,2,3
Dallas Stars,Colorado Avalanche,2,3
Phoenix Coyotes,St Louis Blues,2,4
Florida Panthers,Washington Capitals,5,6
Toronto Maple Leafs,San Jose Sharks,2,4
Boston Bruins,NY Islanders Islanders,4,2
Ottawa Senators,Pittsburgh Penguins,5,0
Calgary Flames,Nashville Predators,4,4
Carolina Hurricanes,Tampa Bay Lightning,0,5
Los Angeles Kings,Minnesota Wild,3,0
Columbus Blue Jackets,Minnesota Wild,4,0
